Variable,DF,Estimate,LowerCL,UpperCL,ZStat,ProbZStat,Model,zlabel,SoftVer,SrcData
Intercept,1,-4.182266280905,-4.249868946900,-4.114663614911,-121.2539648210,0.000000000000,Gee,Intercept,v2025,"HCUP 2020, 2021, 2022"
Age_LT30,1,-0.850757047470,-0.998019158869,-0.703494936071,-11.32302909959,0.000000000000,Gee,Age < 30,v2025,"HCUP 2020, 2021, 2022"
Age_30_34,1,-0.681314564479,-0.803658239929,-0.558970889029,-10.91476125437,0.000000000000,Gee,30 <= Age <= 34,v2025,"HCUP 2020, 2021, 2022"
Age_35_39,1,-0.773661652914,-0.944820484274,-0.602502821555,-8.859309004911,0.000000000000,Gee,35 <= Age <= 39,v2025,"HCUP 2020, 2021, 2022"
Age_40_44,1,-0.629359118057,-0.703885308297,-0.554832927817,-16.55151297490,0.000000000000,Gee,40 <= Age <= 44,v2025,"HCUP 2020, 2021, 2022"
Age_45_49,1,-0.503143721981,-0.565414665146,-0.440872778817,-15.83633592196,0.000000000000,Gee,45 <= Age <= 49,v2025,"HCUP 2020, 2021, 2022"
Age_50_54,1,-0.445288671148,-0.497434060786,-0.393143281509,-16.73685371276,0.000000000000,Gee,50 <= Age <= 54,v2025,"HCUP 2020, 2021, 2022"
Age_55_59,1,-0.297236348929,-0.338418578560,-0.256054119298,-14.14621170388,0.000000000000,Gee,55 <= Age <= 59,v2025,"HCUP 2020, 2021, 2022"
Age_60_64,1,-0.118117828841,-0.152011415286,-0.084224242397,-6.830398159185,0.000000000008,Gee,60 <= Age <= 64,v2025,"HCUP 2020, 2021, 2022"
Age_70_74,1,0.125140437970,0.084696539763,0.165584336177,6.064468617112,0.000000001324,Gee,70 <= Age <= 74,v2025,"HCUP 2020, 2021, 2022"
Age_75_79,1,0.222345463957,0.182019625791,0.262671302123,10.806696681301,0.000000000000,Gee,75 <= Age <= 79,v2025,"HCUP 2020, 2021, 2022"
Age_80_84,1,0.257744871276,0.217475032221,0.298014710331,12.544640772152,0.000000000000,Gee,80 <= Age <= 84,v2025,"HCUP 2020, 2021, 2022"
Age_85_89,1,0.259105625891,0.216837951250,0.301373300533,12.014800890878,0.000000000000,Gee,85 <= Age <= 89,v2025,"HCUP 2020, 2021, 2022"
Age_90Plus,1,0.274907483554,0.231073057456,0.318741909651,12.291908776084,0.000000000000,Gee,Age >= 90,v2025,"HCUP 2020, 2021, 2022"
MALE,1,0.004275571305,-0.024797376041,0.033348518650,0.288239292396,0.773163573482,Gee,Patient Sex Flag: 1=Male / 0=Female,v2025,"HCUP 2020, 2021, 2022"
Age_35_39_MALE,1,0.078893241896,-0.123326246484,0.281112730276,0.764653861895,0.444477686855,Gee,35 <= Age <= 39 MALE,v2025,"HCUP 2020, 2021, 2022"
Age_70_74_MALE,1,0.144134996908,0.096661291491,0.191608702325,5.950649951784,0.000000002671,Gee,70 <= Age <= 74 MALE,v2025,"HCUP 2020, 2021, 2022"
Age_75_79_MALE,1,0.218914067340,0.170239570262,0.267588564418,8.814958827552,0.000000000000,Gee,75 <= Age <= 79 MALE,v2025,"HCUP 2020, 2021, 2022"
Age_80_84_MALE,1,0.297597151783,0.252350209670,0.342844093896,12.891030247668,0.000000000000,Gee,80 <= Age <= 84 MALE,v2025,"HCUP 2020, 2021, 2022"
Age_85_89_MALE,1,0.358787953065,0.311647178344,0.405928727785,14.917265790928,0.000000000000,Gee,85 <= Age <= 89 MALE,v2025,"HCUP 2020, 2021, 2022"
Age_90Plus_MALE,1,0.356527944200,0.308148849727,0.404907038673,14.443881964460,0.000000000000,Gee,Age >= 90 MALE,v2025,"HCUP 2020, 2021, 2022"
COVIDDX,1,0.281866318732,0.224447137269,0.339285500196,9.621311538944,0.000000000000,Gee,COVID-19 Diagnosis,v2025,"HCUP 2020, 2021, 2022"
Q1,1,0.008919727491,-0.027385910588,0.045225365570,0.481532499062,0.630138087621,Gee,"Quarter 1, 2020",v2025,"HCUP 2020, 2021, 2022"
Q2,1,-0.013946308367,-0.053072897656,0.025180280922,-0.698610909167,0.484795224218,Gee,"Quarter 2, 2020",v2025,"HCUP 2020, 2021, 2022"
Q3,1,-0.069622205755,-0.108792024059,-0.030452387450,-3.483728587745,0.000494480659,Gee,"Quarter 3, 2020",v2025,"HCUP 2020, 2021, 2022"
Q4,1,0.022606373906,-0.014074023395,0.059286771207,1.207938897547,0.227070766228,Gee,"Quarter 4, 2020",v2025,"HCUP 2020, 2021, 2022"
Q5,1,0.048654616501,0.013806391083,0.083502841918,2.736474953299,0.006210132226,Gee,"Quarter 1, 2021",v2025,"HCUP 2020, 2021, 2022"
Q6,1,-0.102831008478,-0.139138350123,-0.066523666832,-5.551083168782,0.000000028390,Gee,"Quarter 2, 2021",v2025,"HCUP 2020, 2021, 2022"
Q7,1,0.057214148359,0.020022668439,0.094405628278,3.015144071470,0.002568572145,Gee,"Quarter 3, 2021",v2025,"HCUP 2020, 2021, 2022"
Q8,1,0.114932322980,0.079628748680,0.150235897281,6.380748073379,0.000000000176,Gee,"Quarter 4, 2021",v2025,"HCUP 2020, 2021, 2022"
Q9,1,0.133587224651,0.100666131098,0.166508318204,7.953142525128,0.000000000000,Gee,"Quarter 1, 2022",v2025,"HCUP 2020, 2021, 2022"
Q10,1,-0.077164354319,-0.112525999116,-0.041802709521,-4.276932145581,0.000018948653,Gee,"Quarter 2, 2022",v2025,"HCUP 2020, 2021, 2022"
Q11,1,-0.069323445993,-0.103500851169,-0.035146040817,-3.975476099832,0.000070238598,Gee,"Quarter 3, 2022",v2025,"HCUP 2020, 2021, 2022"
COVIDDX_Q1,1,0.811610459811,0.464821900349,1.158399019272,4.587023496893,0.000004496101,Gee,"COVID, Quarter 1, 2020",v2025,"HCUP 2020, 2021, 2022"
COVIDDX_Q3,1,0.347368134149,0.086091211370,0.608645056928,2.605775607995,0.009166649273,Gee,"COVID, Quarter 3, 2020",v2025,"HCUP 2020, 2021, 2022"
COVIDDX_Q4,1,0.563415583557,0.395954186841,0.730876980274,6.594201850427,0.000000000043,Gee,"COVID, Quarter 4, 2020",v2025,"HCUP 2020, 2021, 2022"
COVIDDX_Q7,1,0.423501016817,0.214451371339,0.632550662295,3.970572341699,0.000071700181,Gee,"COVID, Quarter 3, 2021",v2025,"HCUP 2020, 2021, 2022"
DNR,1,0.815219803671,0.787781826855,0.842657780488,58.233209589885,0.000000000000,Gee,Do not resuscitate flag,v2025,"HCUP 2020, 2021, 2022"
SYSHFD,1,0.111124456400,0.091463056073,0.130785856726,11.077539174696,0.000000000000,Gee,Systolic heart failure diagnosis codes,v2025,"HCUP 2020, 2021, 2022"
TRNSFER,1,0.344692420768,0.302007495920,0.387377345615,15.827244228813,0.000000000000,Gee,TRANSFER FROM ANOTHER ACUTE CARE HOSPITAL,v2025,"HCUP 2020, 2021, 2022"
CSHOCKANOXBDD,1,0.630895680281,0.560000142605,0.701791217958,17.441616946196,0.000000000000,Gee,"Cardiogenic shock, cardiac arrest, and anoxic brain damage diagnosis codes",v2025,"HCUP 2020, 2021, 2022"
d_DXCCSR_BLD001,1,-0.230903625417,-0.258653643401,-0.203153607433,-16.30855842966,0.000000000000,Gee,Nutritional anemia,v2025,"HCUP 2020, 2021, 2022"
d_DXCCSR_BLD003,1,-0.107891602201,-0.128238197771,-0.087545006632,-10.39307307352,0.000000000000,Gee,Aplastic anemia,v2025,"HCUP 2020, 2021, 2022"
d_DXCCSR_BLD004,1,0.122589438082,0.068340925528,0.176837950635,4.429077816397,0.000009463687,Gee,Acute posthemorrhagic anemia,v2025,"HCUP 2020, 2021, 2022"
d_DXCCSR_BLD006,1,0.304962739396,0.273726098070,0.336199380722,19.135091369247,0.000000000000,Gee,Coagulation and hemorrhagic disorders,v2025,"HCUP 2020, 2021, 2022"
d_DXCCSR_BLD007,1,-0.093508563878,-0.149150635059,-0.037866492697,-3.293792153259,0.000988455602,Gee,Diseases of white blood cells,v2025,"HCUP 2020, 2021, 2022"
d_DXCCSR_CIR005,1,-0.109823170334,-0.132183467383,-0.087462873284,-9.626413193032,0.000000000000,Gee,Myocarditis and cardiomyopathy,v2025,"HCUP 2020, 2021, 2022"
d_DXCCSR_CIR008,1,-0.298606990878,-0.330076773020,-0.267137208736,-18.59748964949,0.000000000000,Gee,Hypertension with complications and secondary hypertension,v2025,"HCUP 2020, 2021, 2022"
d_DXCCSR_CIR009,1,0.319922478812,0.288472461180,0.351372496444,19.937557544622,0.000000000000,Gee,Acute myocardial infarction,v2025,"HCUP 2020, 2021, 2022"
d_DXCCSR_CIR013,1,0.396510344409,0.336212919911,0.456807768906,12.888543764805,0.000000000000,Gee,Acute pulmonary embolism,v2025,"HCUP 2020, 2021, 2022"
d_DXCCSR_CIR014,1,0.130959352139,0.111169725922,0.150748978355,12.970210292073,0.000000000000,Gee,Pulmonary heart disease,v2025,"HCUP 2020, 2021, 2022"
d_DXCCSR_CIR016,1,-0.093308263808,-0.114089706637,-0.072526820979,-8.800199198339,0.000000000000,Gee,Conduction disorders,v2025,"HCUP 2020, 2021, 2022"
d_DXCCSR_CIR017,1,0.109833509396,0.091644028618,0.128022990174,11.834847038257,0.000000000000,Gee,Cardiac dysrhythmias,v2025,"HCUP 2020, 2021, 2022"
d_DXCCSR_CIR018,1,1.916375985761,1.845841714769,1.986910256753,53.251105598779,0.000000000000,Gee,Cardiac arrest and ventricular fibrillation,v2025,"HCUP 2020, 2021, 2022"
d_DXCCSR_CIR025,1,-0.070985478304,-0.114816608082,-0.027154348526,-3.174204762823,0.001502476559,Gee,Sequela of cerebral infarction and other cerebrovascular disease,v2025,"HCUP 2020, 2021, 2022"
d_DXCCSR_CIR026,1,0.074823645168,0.045453000086,0.104194290250,4.993136831440,0.000000594064,Gee,Peripheral and visceral vascular disease,v2025,"HCUP 2020, 2021, 2022"
d_DXCCSR_CIR031,1,0.450303528847,0.421391321421,0.479215736273,30.526160996405,0.000000000000,Gee,Hypotension,v2025,"HCUP 2020, 2021, 2022"
d_DXCCSR_CIR032,1,0.110722412743,0.082905257820,0.138539567666,7.801370839666,0.000000000000,Gee,Other specified and unspecified circulatory disease,v2025,"HCUP 2020, 2021, 2022"
d_DXCCSR_CIR036,1,-0.181949943079,-0.228467749519,-0.135432136639,-7.666211343895,0.000000000000,Gee,Postthrombotic syndrome and venous insufficiency/hypertension,v2025,"HCUP 2020, 2021, 2022"
d_DXCCSR_DIG004,1,-0.142759262154,-0.163613448519,-0.121905075789,-13.41711478859,0.000000000000,Gee,Esophageal disorders,v2025,"HCUP 2020, 2021, 2022"
d_DXCCSR_DIG010,1,-0.174847136661,-0.231515452631,-0.118178820691,-6.047366765570,0.000000001472,Gee,Abdominal hernia,v2025,"HCUP 2020, 2021, 2022"
d_DXCCSR_DIG013,1,-0.188043558220,-0.252625403867,-0.123461712573,-5.706845289784,0.000000011509,Gee,Diverticulosis and diverticulitis,v2025,"HCUP 2020, 2021, 2022"
d_DXCCSR_DIG018,1,0.744096064101,0.692773943410,0.795418184793,28.416625560682,0.000000000000,Gee,Hepatic failure,v2025,"HCUP 2020, 2021, 2022"
d_DXCCSR_DIG019,1,0.175300959621,0.146412771479,0.204189147762,11.893565827851,0.000000000000,Gee,Other specified and unspecified liver disease,v2025,"HCUP 2020, 2021, 2022"
d_DXCCSR_DIG021,1,0.386853120863,0.340043800366,0.433662441360,16.198017321184,0.000000000000,Gee,Gastrointestinal hemorrhage,v2025,"HCUP 2020, 2021, 2022"
d_DXCCSR_DIG025,1,-0.161266257832,-0.195081997589,-0.127450518074,-9.347009988201,0.000000000000,Gee,Other specified and unspecified gastrointestinal disorders,v2025,"HCUP 2020, 2021, 2022"
d_DXCCSR_END001,1,-0.056539557261,-0.075088118914,-0.037990995608,-5.974344426687,0.000000002310,Gee,Thyroid disorders,v2025,"HCUP 2020, 2021, 2022"
d_DXCCSR_END005,1,-0.128604523914,-0.147228058548,-0.109980989279,-13.53450030118,0.000000000000,Gee,"Diabetes mellitus, Type 2",v2025,"HCUP 2020, 2021, 2022"
d_DXCCSR_END007,1,-0.289192191008,-0.338231213945,-0.240153168071,-11.55827023137,0.000000000000,Gee,Nutritional deficiencies,v2025,"HCUP 2020, 2021, 2022"
d_DXCCSR_END008,1,0.404701367312,0.376480527252,0.432922207372,28.106892025077,0.000000000000,Gee,Malnutrition,v2025,"HCUP 2020, 2021, 2022"
d_DXCCSR_END009,1,-0.068838128896,-0.089519992768,-0.048156265024,-6.523602236037,0.000000000069,Gee,Obesity,v2025,"HCUP 2020, 2021, 2022"
d_DXCCSR_END010,1,-0.282763982871,-0.302199791290,-0.263328174451,-28.51475022790,0.000000000000,Gee,Disorders of lipid metabolism,v2025,"HCUP 2020, 2021, 2022"
d_DXCCSR_END011,1,0.355236529186,0.337011241065,0.373461817307,38.202457957113,0.000000000000,Gee,Fluid and electrolyte disorders,v2025,"HCUP 2020, 2021, 2022"
d_DXCCSR_END015,1,0.168767262105,0.114618338473,0.222916185738,6.108667232998,0.000000001005,Gee,Other specified and unspecified endocrine disorders,v2025,"HCUP 2020, 2021, 2022"
d_DXCCSR_END016,1,-0.133708641733,-0.164632175923,-0.102785107544,-8.474585104430,0.000000000000,Gee,Other specified and unspecified nutritional and metabolic disorders,v2025,"HCUP 2020, 2021, 2022"
d_DXCCSR_EYE005,1,-0.060913320010,-0.107454847917,-0.014371792104,-2.565191105000,0.010311899236,Gee,Retinal and vitreous conditions,v2025,"HCUP 2020, 2021, 2022"
d_DXCCSR_EYE010,1,-0.173701819066,-0.238906924456,-0.108496713675,-5.221206336189,0.000000177761,Gee,Blindness and vision defects,v2025,"HCUP 2020, 2021, 2022"
d_DXCCSR_FAC009,1,-0.202058882942,-0.222707120429,-0.181410645454,-19.17975486072,0.000000000000,Gee,"Implant, device or graft related encounter",v2025,"HCUP 2020, 2021, 2022"
d_DXCCSR_FAC022,1,-0.279973951592,-0.309594396892,-0.250353506292,-18.52567900871,0.000000000000,Gee,Acquired absence of limb or organ,v2025,"HCUP 2020, 2021, 2022"
d_DXCCSR_FAC026,1,-0.335909502992,-0.358560948128,-0.313258057856,-29.06527702706,0.000000000000,Gee,Personal history of nicotine dependence,v2025,"HCUP 2020, 2021, 2022"
d_DXCCSR_FAC027,1,-0.179751484704,-0.205222753158,-0.154280216251,-13.83152302891,0.000000000000,Gee,Personal history of malignant neoplasm,v2025,"HCUP 2020, 2021, 2022"
d_DXCCSR_GEN001,1,-0.140303711866,-0.197735129816,-0.082872293917,-4.788149622175,0.000001683261,Gee,Nephritis; nephrosis; renal sclerosis,v2025,"HCUP 2020, 2021, 2022"
d_DXCCSR_GEN002,1,0.452269548308,0.433940724980,0.470598371637,48.362735027765,0.000000000000,Gee,Acute and unspecified renal failure,v2025,"HCUP 2020, 2021, 2022"
d_DXCCSR_GEN003,1,0.340198652470,0.320810540369,0.359586764571,34.391028015465,0.000000000000,Gee,Chronic kidney disease,v2025,"HCUP 2020, 2021, 2022"
d_DXCCSR_GEN009,1,-0.092507747464,-0.153227704875,-0.031787790053,-2.986033934349,0.002826212792,Gee,Hematuria,v2025,"HCUP 2020, 2021, 2022"
