Variable,DF,Estimate,LowerCL,UpperCL,ZStat,ProbZStat,Model,zlabel,SoftVer,SrcData
Intercept,1,-2.015135248738,-2.277864228691,-1.752406268785,-15.03295339634,0.000000000000,Gee,Intercept,v2023,"HCUP 2019, 2020, 2021"
Age_LT30,1,-0.602545384223,-0.798242057119,-0.406848711327,-6.034682320608,0.000000001593,Gee,Age < 30,v2023,"HCUP 2019, 2020, 2021"
Age_30_34,1,-0.214486137748,-0.345802160223,-0.083170115273,-3.201323777906,0.001367977221,Gee,30 <= Age <= 34,v2023,"HCUP 2019, 2020, 2021"
Age_35_39,1,-0.277462345434,-0.380928636102,-0.173996054765,-5.255974681244,0.000000147243,Gee,35 <= Age <= 39,v2023,"HCUP 2019, 2020, 2021"
Age_40_44,1,-0.134649505595,-0.265872002303,-0.003427008888,-2.011150436275,0.044309569157,Gee,40 <= Age <= 44,v2023,"HCUP 2019, 2020, 2021"
Age_45_49,1,-0.135184375004,-0.244948748067,-0.025420001941,-2.413866165184,0.015784259001,Gee,45 <= Age <= 49,v2023,"HCUP 2019, 2020, 2021"
Age_50_54,1,-0.128182509764,-0.191622259005,-0.064742760524,-3.960184357509,0.000074891924,Gee,50 <= Age <= 54,v2023,"HCUP 2019, 2020, 2021"
Age_55_59,1,-0.054031015682,-0.112600817907,0.004538786543,-1.808079262030,0.070594165292,Gee,55 <= Age <= 59,v2023,"HCUP 2019, 2020, 2021"
Age_60_64,1,-0.025050091735,-0.081205723632,0.031105540162,-0.874307276968,0.381950937456,Gee,60 <= Age <= 64,v2023,"HCUP 2019, 2020, 2021"
Age_70_74,1,0.119745634213,0.067776197882,0.171715070544,4.516060725951,0.000006300060,Gee,70 <= Age <= 74,v2023,"HCUP 2019, 2020, 2021"
Age_75_79,1,0.214391529612,0.160804091494,0.267978967729,7.841383939842,0.000000000000,Gee,75 <= Age <= 79,v2023,"HCUP 2019, 2020, 2021"
Age_80_84,1,0.306536002924,0.239232366792,0.373839639056,8.926702333285,0.000000000000,Gee,80 <= Age <= 84,v2023,"HCUP 2019, 2020, 2021"
Age_85_89,1,0.293617270694,0.220870174159,0.366364367228,7.910683769045,0.000000000000,Gee,85 <= Age <= 89,v2023,"HCUP 2019, 2020, 2021"
Age_90Plus,1,0.225214091788,0.142078637873,0.308349545704,5.309545902843,0.000000109899,Gee,Age >= 90,v2023,"HCUP 2019, 2020, 2021"
MALE,1,-0.062461259731,-0.096220353199,-0.028702166262,-3.626336104568,0.000287471135,Gee,Patient Sex Flag: 1=Male / 0=Female,v2023,"HCUP 2019, 2020, 2021"
