Variable,DF,Estimate,LowerCL,UpperCL,ZStat,ProbZStat,Model,zlabel,SoftVer,SrcData
Intercept,1,-2.480907091466,-2.658588570564,-2.303225612368,-27.36632187527,0.000000000000,Gee,Intercept,v2023,"HCUP 2019, 2020, 2021"
Age_LT30,1,-0.713655507271,-0.925661658268,-0.501649356274,-6.597634479205,0.000000000042,Gee,Age < 30,v2023,"HCUP 2019, 2020, 2021"
Age_30_34,1,-0.596950583334,-0.803459485335,-0.390441681333,-5.665623285723,0.000000014649,Gee,30 <= Age <= 34,v2023,"HCUP 2019, 2020, 2021"
Age_35_39,1,-0.465767403448,-0.633107826236,-0.298426980661,-5.455270882698,0.000000048898,Gee,35 <= Age <= 39,v2023,"HCUP 2019, 2020, 2021"
Age_40_44,1,-0.534248271207,-0.667761791328,-0.400734751085,-7.842706636857,0.000000000000,Gee,40 <= Age <= 44,v2023,"HCUP 2019, 2020, 2021"
Age_45_49,1,-0.506325183207,-0.640310290441,-0.372340075974,-7.406637528915,0.000000000000,Gee,45 <= Age <= 49,v2023,"HCUP 2019, 2020, 2021"
Age_50_54,1,-0.427698382580,-0.549557373203,-0.305839391957,-6.879044556463,0.000000000006,Gee,50 <= Age <= 54,v2023,"HCUP 2019, 2020, 2021"
Age_55_59,1,-0.292983370068,-0.404378332389,-0.181588407748,-5.154962499563,0.000000253682,Gee,55 <= Age <= 59,v2023,"HCUP 2019, 2020, 2021"
Age_60_64,1,-0.180603115302,-0.290661245470,-0.070544985135,-3.216260361229,0.001298729480,Gee,60 <= Age <= 64,v2023,"HCUP 2019, 2020, 2021"
Age_70_74,1,0.156477655475,0.044092466274,0.268862844676,2.728923368798,0.006354146778,Gee,70 <= Age <= 74,v2023,"HCUP 2019, 2020, 2021"
Age_75_79,1,0.378563045397,0.255855848301,0.501270242493,6.046670060224,0.000000001479,Gee,75 <= Age <= 79,v2023,"HCUP 2019, 2020, 2021"
Age_80_84,1,0.478090097551,0.345406728834,0.610773466267,7.062221751156,0.000000000002,Gee,80 <= Age <= 84,v2023,"HCUP 2019, 2020, 2021"
Age_85_89,1,0.435638859581,0.278305356956,0.592972362207,5.426920908744,0.000000057335,Gee,85 <= Age <= 89,v2023,"HCUP 2019, 2020, 2021"
Age_90Plus,1,0.551812949047,0.357312563165,0.746313334929,5.560572548126,0.000000026889,Gee,Age >= 90,v2023,"HCUP 2019, 2020, 2021"
MALE,1,0.031943765189,-0.023445068259,0.087332598638,1.130347497929,0.258329827642,Gee,Patient Sex Flag: 1=Male / 0=Female,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_BLD001_123,1,-0.520529034830,-0.689742634034,-0.351315435627,-6.029173576941,0.000000001648,Gee,Nutritional anemia,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_BLD003_123,1,-0.180366853008,-0.274357317081,-0.086376388936,-3.761153212605,0.000169131788,Gee,Aplastic anemia,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_BLD006_123,1,0.301933999557,0.209046728064,0.394821271049,6.370945720894,0.000000000188,Gee,Coagulation and hemorrhagic disorders,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_CIR004_123,1,0.803386415441,0.492385295886,1.114387534996,5.063031419911,0.000000412642,Gee,Endocarditis and endocardial disease,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_CIR007_123,1,-0.104909522360,-0.164536529711,-0.045282515009,-3.448418671270,0.000563879254,Gee,Essential hypertension,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_CIR009_123,1,0.191282324851,0.045073552992,0.337491096710,2.564185874903,0.010341814447,Gee,Acute myocardial infarction,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_CIR011_123,1,0.129289727603,0.047652002173,0.210927453033,3.103996446956,0.001909256238,Gee,Coronary atherosclerosis and other heart disease,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_CIR017_123,1,0.144356537166,0.063979320333,0.224733754000,3.520072290687,0.000431429194,Gee,Cardiac dysrhythmias,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_CIR018_123,1,2.280782083901,2.072404396198,2.489159771605,21.452636269694,0.000000000000,Gee,Cardiac arrest and ventricular fibrillation,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_CIR023_123,1,-0.199722022511,-0.324054106038,-0.075389938983,-3.148406750164,0.001641630906,Gee,Occlusion or stenosis of precerebral or cerebral arteries without infarction,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_CIR024_123,1,-0.390109696398,-0.470516538773,-0.309702854023,-9.509152857840,0.000000000000,Gee,Other and ill-defined cerebrovascular disease,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_CIR031_123,1,0.740990161640,0.613495718304,0.868484604976,11.391194719661,0.000000000000,Gee,Hypotension,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_CIR033_123,1,-0.404943064744,-0.625003734807,-0.184882394681,-3.606613678218,0.000310218987,Gee,Acute phlebitis; thrombophlebitis and thromboembolism,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_DIG004_123,1,-0.147929376402,-0.237735578887,-0.058123173916,-3.228465762690,0.001244561556,Gee,Esophageal disorders,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_DIG018_123,1,0.898266909831,0.573321455117,1.223212364545,5.418050218066,0.000000060252,Gee,Hepatic failure,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_DIG019_123,1,0.322199235343,0.148574209371,0.495824261316,3.637142131912,0.000275679825,Gee,Other specified and unspecified liver disease,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_DIG025_123,1,-0.495521183985,-0.673624878614,-0.317417489356,-5.453023735482,0.000000049520,Gee,Other specified and unspecified gastrointestinal disorders,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_END001_123,1,-0.175207415319,-0.260170869469,-0.090243961169,-4.041740384551,0.000053055954,Gee,Thyroid disorders,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_END008_123,1,-0.498288102876,-0.640579319825,-0.355996885927,-6.863577081583,0.000000000007,Gee,Malnutrition,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_END009_123,1,-0.181583812569,-0.265858737007,-0.097308888130,-4.223056089128,0.000024101181,Gee,Obesity,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_END010_123,1,-0.244421305224,-0.303369945878,-0.185472664571,-8.126683668756,0.000000000000,Gee,Disorders of lipid metabolism,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_END013_123,1,0.390193831602,0.213863291231,0.566524371972,4.337115143653,0.000014436501,Gee,Pituitary disorders,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_END016_123,1,-0.253963183997,-0.348695866386,-0.159230501608,-5.254350256761,0.000000148548,Gee,Other specified and unspecified nutritional and metabolic disorders,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_EYE003_123,1,-0.288790931154,-0.542489505237,-0.035092357070,-2.231072153905,0.025676349930,Gee,Glaucoma,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_EYE010_123,1,-0.734831899052,-0.907594255598,-0.562069542506,-8.336561769748,0.000000000000,Gee,Blindness and vision defects,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_EYE012_123,1,0.686110950000,0.511539373420,0.860682526581,7.703159802639,0.000000000000,Gee,Other specified eye disorders,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_FAC022_123,1,-0.207577819194,-0.320125878773,-0.095029759616,-3.614856187958,0.000300514392,Gee,Acquired absence of limb or organ,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_GEN002_123,1,0.214060616323,0.115475675917,0.312645556729,4.255732130819,0.000020836605,Gee,Acute and unspecified renal failure,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_GEN003_123,1,0.195713088273,0.096697012858,0.294729163688,3.874023512947,0.000107053077,Gee,Chronic kidney disease,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_GEN004_123,1,-0.635715985122,-0.781998357059,-0.489433613184,-8.517638993221,0.000000000000,Gee,Urinary tract infections,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_INF002_123,1,0.482712805388,0.274052845431,0.691372765345,4.534169917564,0.000005783046,Gee,Septicemia,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_INF003_123,1,-0.422097538299,-0.581211071348,-0.262984005251,-5.199406720347,0.000000199926,Gee,Bacterial infections,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_INJ030_123,1,-0.541771655917,-0.790961588346,-0.292581723488,-4.261219235838,0.000020331466,Gee,Drug induced or toxic related condition,v2023,"HCUP 2019, 2020, 2021"
