Variable,DF,Estimate,LowerCL,UpperCL,ZStat,ProbZStat,Model,zlabel,SoftVer,SrcData
Intercept,1,-3.902583962738,-4.399812005650,-3.405355919825,-15.38313078404,0.000000000000,Gee,Intercept,v2023,"HCUP 2019, 2020, 2021"
Age_LT30,1,-1.380661091464,-1.911814371258,-0.849507811669,-5.094661215634,0.000000349365,Gee,Age < 30,v2023,"HCUP 2019, 2020, 2021"
Age_30_34,1,-1.117319294926,-1.662676301128,-0.571962288724,-4.015544959323,0.000059308591,Gee,30 <= Age <= 34,v2023,"HCUP 2019, 2020, 2021"
Age_35_39,1,-0.641127945658,-1.104901150567,-0.177354740748,-2.709487459968,0.006738725247,Gee,35 <= Age <= 39,v2023,"HCUP 2019, 2020, 2021"
Age_40_44,1,-1.009308200564,-1.537779239442,-0.480837161686,-3.743266095728,0.000181643690,Gee,40 <= Age <= 44,v2023,"HCUP 2019, 2020, 2021"
Age_45_49,1,-0.746276670140,-1.222713126732,-0.269840213547,-3.070032479121,0.002140354937,Gee,45 <= Age <= 49,v2023,"HCUP 2019, 2020, 2021"
Age_50_54,1,-0.584307154512,-0.977572282685,-0.191042026339,-2.912083723451,0.003590263898,Gee,50 <= Age <= 54,v2023,"HCUP 2019, 2020, 2021"
Age_55_59,1,-0.285505133675,-0.640877892344,0.069867624994,-1.574627671238,0.115342411817,Gee,55 <= Age <= 59,v2023,"HCUP 2019, 2020, 2021"
Age_60_64,1,-0.070282450377,-0.411041817750,0.270476916997,-0.404247350691,0.686030837235,Gee,60 <= Age <= 64,v2023,"HCUP 2019, 2020, 2021"
Age_70_74,1,-0.027394512083,-0.502595321991,0.447806297826,-0.112988563859,0.910039621869,Gee,70 <= Age <= 74,v2023,"HCUP 2019, 2020, 2021"
Age_75_79,1,0.249829706384,-0.239855812381,0.739515225150,0.999942224177,0.317338468786,Gee,75 <= Age <= 79,v2023,"HCUP 2019, 2020, 2021"
Age_80_84,1,0.253239344909,-0.408199602450,0.914678292267,0.750394269149,0.453017281467,Gee,80 <= Age <= 84,v2023,"HCUP 2019, 2020, 2021"
Age_85Plus,1,1.180140618937,0.614153669237,1.746127568636,4.086725163956,0.000043750487,Gee,Age >= 85,v2023,"HCUP 2019, 2020, 2021"
MALE,1,0.197133112021,-0.025919116610,0.420185340653,1.732212236088,0.083235781221,Gee,Patient Sex Flag: 1=Male / 0=Female,v2023,"HCUP 2019, 2020, 2021"
Age_70_74_MALE,1,0.523144027682,0.003959715426,1.042328339938,1.974912239793,0.048278108148,Gee,70 <= Age <= 74 MALE,v2023,"HCUP 2019, 2020, 2021"
Age_75_79_MALE,1,0.248764728413,-0.345752454673,0.843281911500,0.820110708630,0.412152998067,Gee,75 <= Age <= 79 MALE,v2023,"HCUP 2019, 2020, 2021"
Age_80_84_MALE,1,0.878041316442,0.100497501558,1.655585131326,2.213289237495,0.026877711142,Gee,80 <= Age <= 84 MALE,v2023,"HCUP 2019, 2020, 2021"
MDC_1,1,2.432381133494,0.993214118494,3.871548148493,3.312596362086,0.000924342771,Gee,Diseases and disorders of the nervous system,v2023,"HCUP 2019, 2020, 2021"
MDC_4,1,1.611991910078,0.774972619054,2.449011201101,3.774639510708,0.000160239213,Gee,Diseases and disorders of the respiratory system,v2023,"HCUP 2019, 2020, 2021"
MDC_5,1,1.459661981543,0.859850120960,2.059473842126,4.769637116954,0.000001845581,Gee,Diseases and disorders of the circulatory system,v2023,"HCUP 2019, 2020, 2021"
MDC_17,1,-0.416264207249,-0.706705437382,-0.125822977116,-2.809046270354,0.004968850461,Gee,"Myeloproliferative diseases and disorders, poorly differentiated neoplasms",v2023,"HCUP 2019, 2020, 2021"
MDC_18,1,1.352800798069,0.918627293613,1.786974302526,6.106869293634,0.000000001016,Gee,"Infectious and parasitic diseases, systemic or unspecified sites",v2023,"HCUP 2019, 2020, 2021"
MDC_23,1,4.784943252502,3.703557212541,5.866329292464,8.672496311590,0.000000000000,Gee,Factors influencing health status and other contacts with health services,v2023,"HCUP 2019, 2020, 2021"
MDC_24,1,0.631487189680,0.164543114485,1.098431264875,2.650621807235,0.008034375047,Gee,Multiple significant trauma,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_BLD006_123,1,0.660389811171,0.410772039756,0.910007582587,5.185288845068,0.000000215680,Gee,Coagulation and hemorrhagic disorders,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_CIR007_123,1,-0.327707484555,-0.541940736510,-0.113474232599,-2.998110056812,0.002716595517,Gee,Essential hypertension,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_CIR019_123,1,0.655049186491,0.357181017062,0.952917355921,4.310204799944,0.000016310342,Gee,Heart failure,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_CIR031_123,1,0.242782145199,-0.155026703560,0.640590993957,1.196163087280,0.231632922479,Gee,Hypotension,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_DIG004_123,1,-0.429662439152,-0.677200218397,-0.182124659906,-3.401997500399,0.000668952497,Gee,Esophageal disorders,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_DIG006_123,1,0.486427087085,0.016116733568,0.956737440602,2.027128607021,0.042649261972,Gee,Gastrointestinal and biliary perforation,v2023,"HCUP 2019, 2020, 2021"
