Variable,DF,Estimate,LowerCL,UpperCL,ZStat,ProbZStat,Model,zlabel,SoftVer,SrcData
Intercept,1,-3.631613030993,-4.123813827028,-3.139412234958,-14.46123371574,0.000000000000,Gee,Intercept,v2023,"HCUP 2019, 2020, 2021"
Age_LT60,1,-0.386333931297,-0.681675367303,-0.090992495291,-2.563814280811,0.010352892463,Gee,Age<60,v2023,"HCUP 2019, 2020, 2021"
Age_60_64,1,-0.059902630961,-0.346168853031,0.226363591109,-0.410132213342,0.681708963315,Gee,60 <= Age <= 64,v2023,"HCUP 2019, 2020, 2021"
Age_70_74,1,0.218506759478,-0.144851383926,0.581864902882,1.178631569790,0.238544914999,Gee,70 <= Age <= 74,v2023,"HCUP 2019, 2020, 2021"
Age_75_79,1,0.267187774251,-0.139261260012,0.673636808513,1.288423321243,0.197598644913,Gee,75 <= Age <= 79,v2023,"HCUP 2019, 2020, 2021"
Age_80_84,1,0.334226512900,-0.117527183926,0.785980209725,1.450064343832,0.147040577062,Gee,80 <= Age <= 84,v2023,"HCUP 2019, 2020, 2021"
Age_85Plus,1,0.618526667204,-0.020334829788,1.257388164196,1.897578734837,0.057751597897,Gee,Age >= 85,v2023,"HCUP 2019, 2020, 2021"
MALE,1,0.055976304659,-0.214661924670,0.326614533989,0.405380797056,0.685197624047,Gee,Patient Sex Flag: 1=Male / 0=Female,v2023,"HCUP 2019, 2020, 2021"
Age_70_74_MALE,1,0.305364240898,-0.144523439116,0.755251920911,1.330338528737,0.183406758153,Gee,70 <= Age <= 74 MALE,v2023,"HCUP 2019, 2020, 2021"
Age_75_79_MALE,1,0.286906051069,-0.183186707098,0.756998809236,1.196201211936,0.231618048044,Gee,75 <= Age <= 79 MALE,v2023,"HCUP 2019, 2020, 2021"
Age_80_84_MALE,1,0.269842061496,-0.308310078493,0.847994201486,0.914777764304,0.360308310265,Gee,80 <= Age <= 84 MALE,v2023,"HCUP 2019, 2020, 2021"
Age_85Plus_MALE,1,0.559604840696,-0.233903923252,1.353113604644,1.382222078911,0.166903522831,Gee,Age >= 85 MALE,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_BLD006_123,1,0.427832864775,0.119344797332,0.736320932218,2.718215369920,0.006563509981,Gee,Coagulation and hemorrhagic disorders,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_CIR007_123,1,-0.388831075903,-0.583588910260,-0.194073241546,-3.913038504227,0.000091141995,Gee,Essential hypertension,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_CIR011_123,1,0.280506853438,0.018262755335,0.542750951542,2.096456446999,0.036041719572,Gee,Coronary atherosclerosis and other heart disease,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_CIR017_123,1,0.244115159898,-0.000304361597,0.488534681394,1.957523353920,0.050285968798,Gee,Cardiac dysrhythmias,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_CIR019_123,1,0.631014139181,0.349003978253,0.913024300109,4.385533423553,0.000011570189,Gee,Heart failure,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_CIR026_123,1,0.283189901123,-0.099984905384,0.666364707631,1.448534709384,0.147467566065,Gee,Peripheral and visceral vascular disease,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_DIG004_123,1,-0.265433459783,-0.456205432413,-0.074661487152,-2.727025434045,0.006390811281,Gee,Esophageal disorders,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_DIG020_123,1,-0.336691392698,-0.572668440436,-0.100714344960,-2.796471139538,0.005166402500,Gee,Pancreatic disorders (excluding diabetes),v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_END010_123,1,-0.439981147315,-0.628832728295,-0.251129566336,-4.566269438363,0.000004964805,Gee,Disorders of lipid metabolism,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_END011_123,1,0.476232075049,0.253504133263,0.698960016836,4.190752663955,0.000027803061,Gee,Fluid and electrolyte disorders,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_FAC009_123,1,-0.548276496924,-0.796886191137,-0.299666802711,-4.322446841597,0.000015430827,Gee,"Implant, device or graft related encounter",v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_FAC022_123,1,-0.463650590885,-0.756426503311,-0.170874678458,-3.103870301397,0.001910070432,Gee,Acquired absence of limb or organ,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_GEN002_123,1,0.487783251643,0.156972641134,0.818593862152,2.889984707600,0.003852605673,Gee,Acute and unspecified renal failure,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_GEN003_123,1,0.218304034946,-0.049016253040,0.485624322933,1.600582018664,0.109469527514,Gee,Chronic kidney disease,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_INF002_123,1,1.275316314178,0.766290405348,1.784342223008,4.910504556495,0.000000908423,Gee,Septicemia,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_MUS006_123,1,-0.516102242246,-0.901787607426,-0.130416877066,-2.622712445081,0.008723286338,Gee,Osteoarthritis,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_NEO051_123,1,-0.543322931720,-0.737033117212,-0.349612746227,-5.497353561654,0.000000038553,Gee,Endocrine system cancers - pancreas,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_NEO070_123,1,-0.320552070603,-0.505372653057,-0.135731488149,-3.399353606676,0.000675453280,Gee,Secondary malignancies,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_RSP012_123,1,1.183229871126,0.748569091182,1.617890651071,5.335397256540,0.000000095336,Gee,Respiratory failure; insufficiency; arrest,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_SYM006_123,1,0.308282112685,0.015683383188,0.600880842181,2.065018665597,0.038921234220,Gee,Abdominal pain and other digestive/abdomen signs and symptoms,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_SYM017_123,1,-0.389297261347,-0.731256719537,-0.047337803157,-2.231283835686,0.025662333711,Gee,Abnormal findings without diagnosis,v2023,"HCUP 2019, 2020, 2021"
d_IQ09_PRCCSR_CAR007_123,1,1.614124938101,0.927154717413,2.301095158789,4.605187604870,0.000004120942,Gee,"Embolectomy, endarterectomy, and related vessel procedures (non-endovascular; excluding carotid)",v2023,"HCUP 2019, 2020, 2021"
d_IQ09_PRCCSR_CAR010_123,1,0.640719088060,0.050321409507,1.231116766613,2.127017741470,0.033418609119,Gee,Ligation and embolization of vessels,v2023,"HCUP 2019, 2020, 2021"
