Variable,DF,Estimate,LowerCL,UpperCL,ZStat,ProbZStat,Model,zlabel,SoftVer,SrcData
Intercept,1,0.732459189721,0.040382130340,1.424536249102,2.074326279914,0.038049018730,Gee,Intercept,v2023,"HCUP 2019, 2020, 2021"
Age_LT60,1,-0.643458947487,-1.007785892713,-0.279132002262,-3.461606063269,0.000536962493,Gee,Age<60,v2023,"HCUP 2019, 2020, 2021"
Age_60_64,1,-0.245437421979,-0.575803741074,0.084928897116,-1.456106387769,0.145363211990,Gee,60 <= Age <= 64,v2023,"HCUP 2019, 2020, 2021"
Age_70_74,1,0.724342775919,0.272968580983,1.175716970855,3.145252363095,0.001659436162,Gee,70 <= Age <= 74,v2023,"HCUP 2019, 2020, 2021"
Age_75_79,1,0.488970900501,0.207221621441,0.770720179562,3.401482898788,0.000670213217,Gee,75 <= Age <= 79,v2023,"HCUP 2019, 2020, 2021"
Age_80_84,1,0.600397569372,0.282967137674,0.917828001071,3.707135469266,0.000209616827,Gee,80 <= Age <= 84,v2023,"HCUP 2019, 2020, 2021"
Age_85_89,1,0.947238815369,0.299401129097,1.595076501640,2.865770241874,0.004159960435,Gee,85 <= Age <= 89,v2023,"HCUP 2019, 2020, 2021"
Age_90Plus,1,0.484641821304,-0.427552546421,1.396836189030,1.041313725196,0.297729968743,Gee,Age >= 90,v2023,"HCUP 2019, 2020, 2021"
MALE,1,-0.105894395237,-0.346425813289,0.134637022814,-0.862877716812,0.388204703464,Gee,Patient Sex Flag: 1=Male / 0=Female,v2023,"HCUP 2019, 2020, 2021"
Age_70_74_MALE,1,-0.676424539150,-1.152022771948,-0.200826306351,-2.787579186724,0.005310347422,Gee,70 <= Age <= 74 MALE,v2023,"HCUP 2019, 2020, 2021"
Age_85_89_MALE,1,-0.072231688475,-0.803395337399,0.658931960449,-0.193624926735,0.846469578833,Gee,85 <= Age <= 89 MALE,v2023,"HCUP 2019, 2020, 2021"
Age_90Plus_MALE,1,0.949492970439,-0.187226837700,2.086212778578,1.637142251160,0.101600750110,Gee,Age >= 90 MALE,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_BLD003_123,1,-0.304321904029,-0.645817589895,0.037173781836,-1.746610561398,0.080704913951,Gee,Aplastic anemia,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_BLD004_123,1,-0.242740504159,-0.456822727281,-0.028658281036,-2.222336066960,0.026260602450,Gee,Acute posthemorrhagic anemia,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_BLD006_123,1,0.282622146772,0.074029170890,0.491215122654,2.655550727747,0.007917902375,Gee,Coagulation and hemorrhagic disorders,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_BLD007_123,1,-0.717465802963,-1.158559268882,-0.276372337044,-3.188002640251,0.001432592284,Gee,Diseases of white blood cells,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_CIR007_123,1,-0.468464704328,-0.684539855926,-0.252389552730,-4.249326874097,0.000021441385,Gee,Essential hypertension,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_CIR008_123,1,-0.467779958753,-0.723223747014,-0.212336170491,-3.589172702475,0.000331729031,Gee,Hypertension with complications and secondary hypertension,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_CIR019_123,1,-0.203530724667,-0.493265118442,0.086203669107,-1.376822699225,0.168567071058,Gee,Heart failure,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_CIR026_123,1,0.172782593813,-0.026192926805,0.371758114430,1.701956401359,0.088763541543,Gee,Peripheral and visceral vascular disease,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_CIR027_123,1,0.232360542044,-0.210292964108,0.675014048197,1.028836974077,0.303556288973,Gee,Arterial dissections,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_CIR029_123,1,-0.966058729725,-1.476327016385,-0.455790443065,-3.710676063383,0.000206706475,Gee,Aortic; peripheral; and visceral artery aneurysms,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_CIR030_123,1,0.274704245808,-0.015379980390,0.564788472007,1.856048621603,0.063446628031,Gee,Aortic and peripheral arterial embolism or thrombosis,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_CIR031_123,1,0.546026316198,0.271958599348,0.820094033048,3.904844856078,0.000094285853,Gee,Hypotension,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_DIG004_123,1,-0.242020084302,-0.528811976421,0.044771807818,-1.653989048509,0.098129737880,Gee,Esophageal disorders,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_DIG010_123,1,-0.322878255942,-0.766311824002,0.120555312118,-1.427112872410,0.153547362711,Gee,Abdominal hernia,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_DIG018_123,1,1.074635545507,0.505213212138,1.644057878876,3.698918785354,0.000216519864,Gee,Hepatic failure,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_DIG019_123,1,0.509491927602,-0.012304069556,1.031287924761,1.913747583256,0.055652415932,Gee,Other specified and unspecified liver disease,v2023,"HCUP 2019, 2020, 2021"
d_DXCCSR_DIG025_123,1,0.216806280736,0.028947182979,0.404665378493,2.261974569973,0.023698974507,Gee,Other specified and unspecified gastrointestinal disorders,v2023,"HCUP 2019, 2020, 2021"
