Variable,DF,Estimate,LowerCL,UpperCL,ZStat,ProbZStat,Model,zlabel,SoftVer,SrcData
Intercept,1,-4.442235527069,-4.573107477267,-4.311363576870,-66.52779018491,0.000000000000,Gee,Intercept,v2025,"HCUP 2020, 2021, 2022"
Age_70_74,1,0.140510549987,0.048915170834,0.232105929141,3.006654047042,0.002641401817,Gee,70 <= Age <= 74,v2025,"HCUP 2020, 2021, 2022"
Age_75_79,1,0.305026121694,0.219575584984,0.390476658403,6.996330694748,0.000000000003,Gee,75 <= Age <= 79,v2025,"HCUP 2020, 2021, 2022"
Age_80_84,1,0.424894072865,0.332207433812,0.517580711917,8.984866519846,0.000000000000,Gee,80 <= Age <= 84,v2025,"HCUP 2020, 2021, 2022"
Age_85_89,1,0.528070639595,0.434791227847,0.621350051342,11.095689986787,0.000000000000,Gee,85 <= Age <= 89,v2025,"HCUP 2020, 2021, 2022"
Age_90Plus,1,0.827153515264,0.736130478607,0.918176551921,17.810778009064,0.000000000000,Gee,Age >= 90,v2025,"HCUP 2020, 2021, 2022"
MALE,1,0.440780635331,0.375615474376,0.505945796286,13.257301258440,0.000000000000,Gee,Patient Sex Flag: 1=Male / 0=Female,v2025,"HCUP 2020, 2021, 2022"
Age_80_84_MALE,1,0.030648887877,-0.067666932708,0.128964708463,0.610997457464,0.541201263540,Gee,80 <= Age <= 84 MALE,v2025,"HCUP 2020, 2021, 2022"
Age_85_89_MALE,1,0.197088258044,0.107211809694,0.286964706394,4.297965647649,0.000017237287,Gee,85 <= Age <= 89 MALE,v2025,"HCUP 2020, 2021, 2022"
Age_90Plus_MALE,1,0.055696009886,-0.030075209297,0.141467229068,1.272713323873,0.203119787878,Gee,Age >= 90 MALE,v2025,"HCUP 2020, 2021, 2022"
MDC_8,1,-0.640726449488,-0.726207931374,-0.555244967603,-14.69091009234,0.000000000000,Gee,Diseases and disorders of the musculoskeletal system and connective tissue,v2025,"HCUP 2020, 2021, 2022"
COVIDDX,1,0.305126401668,0.192822178244,0.417430625093,5.325149311098,0.000000100870,Gee,COVID-19 Diagnosis,v2025,"HCUP 2020, 2021, 2022"
Q2,1,0.002119721971,-0.070113996650,0.074353440592,0.057515780715,0.954134335725,Gee,"Quarter 2, 2020",v2025,"HCUP 2020, 2021, 2022"
Q3,1,-0.012329164529,-0.085353020532,0.060694691474,-0.330915398869,0.740708390052,Gee,"Quarter 3, 2020",v2025,"HCUP 2020, 2021, 2022"
