VARIABLE,DF,Estimate,STDERR,WALDCHISQ,ProbChiSq,LABEL,SoftwareVersion,SrcData
Intercept,1,-7.814772173664,0.023720132626,108542.14927777,0.000000000000,Intercept,v2025,HCUP 2022
FEMALE,1,0.373922479625,0.021900659212,291.50685729880,0.000000000000,Female,v2025,HCUP 2022
AGECAT2,1,0.813487613247,0.019458446349,1747.7751745787,0.000000000000,Age 5-9,v2025,HCUP 2022
AGECAT3,1,0.236644696848,0.020373998129,134.90903291542,0.000000000000,Age 10-14,v2025,HCUP 2022
FAGECAT2,1,-0.475006037332,0.026369344293,324.48871516190,0.000000000000,"Female,Age 5-9",v2025,HCUP 2022
FAGECAT3,1,-0.371482363944,0.027550826545,181.80554964316,0.000000000000,"Female,Age 10-14",v2025,HCUP 2022
POVCAT2,1,0.036742585925,0.024706303029,2.211688242718,0.136968706969,Poverty category 2: Estimated percent of people of all ages in poverty larger than 7.4% and less than or equal to 8.7%,v2025,HCUP 2022
POVCAT3,1,0.121533711181,0.023950979752,25.748204658524,0.000000388989,Poverty category 3: Estimated percent of people of all ages in poverty larger than 8.7% and less than or equal to 10.1%,v2025,HCUP 2022
POVCAT4,1,0.269231073709,0.023807030049,127.89098321047,0.000000000000,Poverty category 4: Estimated percent of people of all ages in poverty larger than 10.1% and less than or equal to 10.9%,v2025,HCUP 2022
POVCAT5,1,0.296015366450,0.024132705497,150.45841642473,0.000000000000,Poverty category 5: Estimated percent of people of all ages in poverty larger than 10.9% and less than or equal to 12.2%,v2025,HCUP 2022
POVCAT6,1,0.300756662548,0.023765961979,160.14733564264,0.000000000000,Poverty category 6: Estimated percent of people of all ages in poverty larger than 12.2% and less than or equal to 13.5%,v2025,HCUP 2022
POVCAT7,1,0.349138195226,0.023731033460,216.45190972479,0.000000000000,Poverty category 7: Estimated percent of people of all ages in poverty larger than 13.5% and less than or equal to 14.2%,v2025,HCUP 2022
POVCAT8,1,0.474598826382,0.022469680726,446.12803636952,0.000000000000,Poverty category 8: Estimated percent of people of all ages in poverty larger than 14.2% and less than or equal to 15.9%,v2025,HCUP 2022
POVCAT9,1,0.380176182049,0.023227352280,267.89857057651,0.000000000000,Poverty category 9: Estimated percent of people of all ages in poverty larger than 15.9% and less than or equal to 18.4%,v2025,HCUP 2022
POVCAT10,1,0.713758855109,0.021659911008,1085.8996237971,0.000000000000,Poverty category 10: Estimated percent of people of all ages in poverty larger than 18.4% and less than or equal to 42.4%,v2025,HCUP 2022
