VARIABLE,DF,Estimate,STDERR,WALDCHISQ,ProbChiSq,LABEL,SoftwareVersion,SrcData
Intercept,1,-7.303586687774,0.015453935759,223354.22475089,0.000000000000,Intercept,v2023,"HCUP 2019, 2020"
FEMALE,1,0.523974749161,0.019651460968,710.93685828432,0.000000000000,Female,v2023,"HCUP 2019, 2020"
AGECAT2,1,0.598678198533,0.018436541271,1054.4548446555,0.000000000000,Age 5-9,v2023,"HCUP 2019, 2020"
AGECAT3,1,0.266791480005,0.018664871533,204.31201279643,0.000000000000,Age 10-14,v2023,"HCUP 2019, 2020"
FAGECAT2,1,-0.584068175775,0.024484145357,569.05885868653,0.000000000000,"Female,Age 5-9",v2023,"HCUP 2019, 2020"
FAGECAT3,1,-0.493570348304,0.024629003326,401.60993475794,0.000000000000,"Female,Age 10-14",v2023,"HCUP 2019, 2020"
YEAR2020,1,-0.170762244491,0.022655077046,56.813640921749,0.000000000000,"Year indicator, =1 for year >=2020; =0 otherwise",v2023,"HCUP 2019, 2020"
YEAR2020_FEMALE,1,-0.144178009186,0.029288497897,24.232814135503,0.000000853654,"Year >=2020, Female",v2023,"HCUP 2019, 2020"
YEAR2020_AGE2,1,-0.477023835356,0.028431846303,281.49457810149,0.000000000000,"Year >=2020, Age 5-9",v2023,"HCUP 2019, 2020"
YEAR2020_AGE3,1,-0.213837249576,0.027903649152,58.727932819233,0.000000000000,"Year >=2020, Age 10-14",v2023,"HCUP 2019, 2020"
YEAR2020_FEMALE_AGE2,1,0.234280357528,0.038243337366,37.528411924680,0.000000000901,"Year >=2020, Female, Age 5-9",v2023,"HCUP 2019, 2020"
YEAR2020_FEMALE_AGE3,1,0.204302743971,0.037195660665,30.169203556030,0.000000039595,"Year >=2020, Female, Age 10-14",v2023,"HCUP 2019, 2020"
