Variable,DF,Estimate,LowerCL,UpperCL,ZStat,ProbZStat,Model,zlabel,SoftVer,SrcData
Intercept,1,-4.580192905932,-4.817242094109,-4.343143717755,-37.86983286850,0.000000000000,Gee,Intercept,v2025,"HCUP 2020, 2021 2022"
AGEDAY_0,1,0.034403140654,-0.185824274142,0.254630555451,0.306178577722,0.759468682172,Gee,AgeDay=0,v2025,"HCUP 2020, 2021 2022"
MALE,1,0.149297346036,-0.122286430340,0.420881122411,1.077448090318,0.281280129591,Gee,Patient Sex Flag: 1=Male / 0=Female,v2025,"HCUP 2020, 2021 2022"
AGEDAY_0_MALE,1,0.121187484078,-0.161218753678,0.403593721835,0.841068901513,0.400309335765,Gee,AgeDay=0 MALE,v2025,"HCUP 2020, 2021 2022"
MDRG_1502,1,-0.439740202667,-0.522143993200,-0.357336412134,-10.45916643163,0.000000000000,Gee,EXTREME IMMATURITY OR RESPIRATORY DISTRESS SYNDROME,v2025,"HCUP 2020, 2021 2022"
MDRG_1503,1,-0.608798878940,-0.759999844667,-0.457597913214,-7.891641900681,0.000000000000,Gee,PREMATURITY W MAJOR PROBLEMS,v2025,"HCUP 2020, 2021 2022"
MDRG_1505,1,-0.869950069780,-1.048456489459,-0.691443650101,-9.551873866413,0.000000000000,Gee,FULL TERM NEONATE W MAJOR PROBLEMS,v2025,"HCUP 2020, 2021 2022"
ODC903,1,0.535492125549,0.284965923633,0.786018327465,4.189363316303,0.000027973822,Gee,Ventilator Dependence flag,v2025,"HCUP 2020, 2021 2022"
BWHTCAT_2,1,-0.212187505709,-0.410347824600,-0.014027186817,-2.098704077007,0.035842995061,Gee,Birth Weight 2000 to 2499 grams,v2025,"HCUP 2020, 2021 2022"
BWHTCAT_3,1,-0.034439039570,-0.284974801560,0.216096722421,-0.269419729474,0.787606705361,Gee,Birth Weight 1750 to 1999 grams,v2025,"HCUP 2020, 2021 2022"
BWHTCAT_4,1,0.260445860319,0.069456831727,0.451434888912,2.672742564899,0.007523396107,Gee,Birth Weight 1500 to 1749 grams,v2025,"HCUP 2020, 2021 2022"
