Variable,DF,Estimate,LowerCL,UpperCL,ZStat,ProbZStat,Model,zlabel,SoftVer,SrcData
Intercept,1,-9.814262736506,-10.25534004587,-9.373185427143,-43.61049886277,0.000000000000,Gee,Intercept,v2025,"HCUP 2020, 2021 2022"
AGE_1,1,0.739233842878,0.275026841061,1.203440844696,3.121175903252,0.001801304022,Gee,Age Days 0-59,v2025,"HCUP 2020, 2021 2022"
AGE_5,1,0.185020826307,-0.241255637277,0.611297289892,0.850701802541,0.394935021633,Gee,Age 4-9 years,v2025,"HCUP 2020, 2021 2022"
AGE_6,1,1.094082922397,0.635873485288,1.552292359506,4.679875511787,0.000002870492,Gee,Age 10-14 years,v2025,"HCUP 2020, 2021 2022"
AGE_7,1,0.857711125114,0.370846939607,1.344575310620,3.452878573545,0.000554638607,Gee,Age 15-17 years,v2025,"HCUP 2020, 2021 2022"
AGE_2_3,1,0.364996274911,-0.113351081599,0.843343631420,1.495523166545,0.134777958480,Gee,Age Days 60-364,v2025,"HCUP 2020, 2021 2022"
MDRG_103,1,0.453608788125,-0.163680365017,1.070897941266,1.440260019588,0.149793848116,Gee,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES,v2025,"HCUP 2020, 2021 2022"
MDRG_510,1,4.121790519061,3.175839539467,5.067741498654,8.540147580003,0.000000000000,Gee,PERMANENT CARDIAC PACEMAKER IMPLANT AND PROCEDURES,v2025,"HCUP 2020, 2021 2022"
MDRG_544,1,3.360483332523,2.330675287204,4.390291377843,6.395780584864,0.000000000160,Gee,CARDIAC DEFIBRILLATOR IMPLANT OR CAROTID SINUS NEUROSTIMULATOR,v2025,"HCUP 2020, 2021 2022"
MDRG_701,1,2.876979655047,1.830000561563,3.923958748531,5.385758458064,0.000000072140,Gee,"PANCREAS, LIVER & SHUNT PROCEDURES",v2025,"HCUP 2020, 2021 2022"
MDRG_801,1,1.963625827692,0.737463206652,3.189788448733,3.138764659229,0.001696616476,Gee,COMBINED ANTERIOR/POSTERIOR SPINAL FUSION,v2025,"HCUP 2020, 2021 2022"
MDRG_802,1,1.506271568175,0.986911431250,2.025631705100,5.684375474096,0.000000013129,Gee,SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS,v2025,"HCUP 2020, 2021 2022"
MDRG_815,1,3.793287521581,3.121433829248,4.465141213914,11.065961250411,0.000000000000,Gee,BACK & NECK PROC EXC SPINAL FUSION  OR DISC DEVICE/NEUROSTIM,v2025,"HCUP 2020, 2021 2022"
MDRG_1001,1,2.740482887447,1.762682653098,3.718283121796,5.493195410432,0.000000039473,Gee,ADRENAL & PITUITARY PROCEDURES,v2025,"HCUP 2020, 2021 2022"
MDRG_1103,1,2.608867123378,1.349122914012,3.868611332743,4.058987185062,0.000049286018,Gee,KIDNEY & URETER PROCEDURES FOR NEOPLASM,v2025,"HCUP 2020, 2021 2022"
MDRG_1506,1,-2.537220977782,-3.554225355559,-1.520216600004,-4.889715173242,0.000001009820,Gee,NEONATE W OTHER SIGNIFICANT PROBLEMS,v2025,"HCUP 2020, 2021 2022"
MDRG_1708,1,2.861819070636,1.784324012674,3.939314128598,5.205650148712,0.000000193319,Gee,LYMPHOMA & NON-ACUTE LEUKEMIA W OTHER O.R. PROC,v2025,"HCUP 2020, 2021 2022"
MDRG_1710,1,1.380680150073,0.200872386331,2.560487913815,2.293664655782,0.021809768420,Gee,MYELOPROLIF DISORD OR POORLY DIFF NEOPL W OTHER O.R. PROC,v2025,"HCUP 2020, 2021 2022"
MDRG_1807,1,1.526396305351,0.468780895900,2.584011714802,2.828704799390,0.004673678702,Gee,SEPTICEMIA OR SEVERE SEPSIS W MV >96 HOURS,v2025,"HCUP 2020, 2021 2022"
MDRG_7702,1,3.478937950262,2.594132359592,4.363743540932,7.706317815873,0.000000000000,Gee,LIVER TRANSPLANT,v2025,"HCUP 2020, 2021 2022"
ODC903,1,0.661215695444,0.130118189418,1.192313201469,2.440152579101,0.014681059701,Gee,Ventilator Dependence flag,v2025,"HCUP 2020, 2021 2022"
MEDICDR,1,-2.015968067938,-2.296559719409,-1.735376416468,-14.08176182874,0.000000000000,Gee,Medical DRGs flag,v2025,"HCUP 2020, 2021 2022"
PD05_NonWt_1,1,0.147606235324,-0.154910005359,0.450122476008,0.956321896885,0.338909630450,Gee,"PD05 Comorbidty count using non-weighted method, category 1, count >= 2",v2025,"HCUP 2020, 2021 2022"
d_DXCCSR_CIR016,1,0.887929406566,0.132807720981,1.643051092152,2.304674453012,0.021184812707,Gee,Conduction disorders,v2025,"HCUP 2020, 2021 2022"
d_DXCCSR_INJ008,1,1.293945106454,0.671294855259,1.916595357650,4.073050322797,0.000046401394,Gee,"Traumatic brain injury (TBI); concussion, initial encounter",v2025,"HCUP 2020, 2021 2022"
d_DXCCSR_MAL001,1,0.700012882810,0.365935949079,1.034089816542,4.106838576664,0.000040111134,Gee,Cardiac and circulatory congenital anomalies,v2025,"HCUP 2020, 2021 2022"
d_DXCCSR_MAL004,1,0.313492744556,-0.086954947632,0.713940436745,1.534368909426,0.124938921804,Gee,Nervous system congenital anomalies,v2025,"HCUP 2020, 2021 2022"
d_DXCCSR_MAL007,1,1.235751099574,0.770247900293,1.701254298856,5.203031155877,0.000000196064,Gee,Respiratory congenital malformations,v2025,"HCUP 2020, 2021 2022"
d_DXCCSR_MAL008,1,0.497925326269,0.180807551477,0.815043101062,3.077455078373,0.002087763032,Gee,Musculoskeletal congenital conditions,v2025,"HCUP 2020, 2021 2022"
d_DXCCSR_MUS022,1,1.110875877326,0.557105338511,1.664646416140,3.931730849232,0.000084336457,Gee,Scoliosis and other postural dorsopathic deformities,v2025,"HCUP 2020, 2021 2022"
d_DXCCSR_NEO056,1,1.649737213545,1.040135672806,2.259338754283,5.304162319841,0.000000113192,Gee,Endocrine system cancers - all other types,v2025,"HCUP 2020, 2021 2022"
d_DXCCSR_NEO070,1,1.214157122905,0.553327689615,1.874986556194,3.601086925896,0.000316889596,Gee,Secondary malignancies,v2025,"HCUP 2020, 2021 2022"
d_DXCCSR_NVS013,1,0.775819485137,0.070197690609,1.481441279664,2.154947963858,0.031165906448,Gee,Coma; stupor; and brain damage,v2025,"HCUP 2020, 2021 2022"
d_DXCCSR_NVS020,1,0.311330799628,-0.029749528633,0.652411127888,1.789013038837,0.073612715699,Gee,Other nervous system disorders (neither hereditary nor degenerative),v2025,"HCUP 2020, 2021 2022"
d_DXCCSR_PNL006,1,0.843741380286,0.335371056430,1.352111704141,3.252948962644,0.001142140093,Gee,Respiratory perinatal condition,v2025,"HCUP 2020, 2021 2022"
d_DXCCSR_PNL011,1,1.100636504649,0.515630092848,1.685642916449,3.687494471285,0.000226473013,Gee,Hemorrhagic and hematologic disorders of newborn,v2025,"HCUP 2020, 2021 2022"
d_DXCCSR_RSP002,1,0.993616994435,0.531121191882,1.456112796989,4.210748536027,0.000025452594,Gee,Pneumonia (except that caused by tuberculosis),v2025,"HCUP 2020, 2021 2022"
d_DXCCSR_RSP010,1,1.054928827870,0.340096278934,1.769761376805,2.892457138328,0.003822413330,Gee,Aspiration pneumonitis,v2025,"HCUP 2020, 2021 2022"
d_DXCCSR_RSP012,1,0.656744021940,0.250120335778,1.063367708101,3.165567264942,0.001547808701,Gee,Respiratory failure; insufficiency; arrest,v2025,"HCUP 2020, 2021 2022"
d_DXCCSR_RSP016,1,0.539231551431,0.159595722942,0.918867379920,2.783916429437,0.005370687016,Gee,Other specified and unspecified lower respiratory disease,v2025,"HCUP 2020, 2021 2022"
d_DXCCSR_SYM003,1,0.639096170552,-0.047344800156,1.325537141259,1.824782509190,0.068033856335,Gee,Shock,v2025,"HCUP 2020, 2021 2022"
