VARIABLE,DF,Estimate,STDERR,WALDCHISQ,ProbChiSq,LABEL,SoftwareVersion,SrcData
Intercept,1,-6.038274973450,0.006646756165,825289.42148269,0.000000000000,Intercept,v2025,HCUP 2022
FEMALE,1,0.521947121663,0.008428262509,3835.1018870029,0.000000000000,Female,v2025,HCUP 2022
AGECAT2,1,1.494005393690,0.007427870704,40455.321783857,0.000000000000,Age 5-9,v2025,HCUP 2022
AGECAT3,1,0.710678806444,0.008180139898,7547.8848563836,0.000000000000,Age 10-14,v2025,HCUP 2022
AGECAT4,1,0.175417338206,0.010310838426,289.43901441686,0.000000000000,Age 15-17,v2025,HCUP 2022
AGECAT5,1,0.320773572512,0.008219226184,1523.1241286681,0.000000000000,Age 18-24,v2025,HCUP 2022
AGECAT6,1,0.266610010140,0.008836603157,910.29508822042,0.000000000000,Age 25-29,v2025,HCUP 2022
AGECAT7,1,0.195284403927,0.008886013037,482.97119397268,0.000000000000,Age 30-34,v2025,HCUP 2022
FAGECAT2,1,-1.036706961773,0.010055552518,10629.189571739,0.000000000000,"Female,Age 5-9",v2025,HCUP 2022
FAGECAT3,1,-0.829269994140,0.011232137132,5450.8861175445,0.000000000000,"Female,Age 10-14",v2025,HCUP 2022
FAGECAT4,1,-0.327911282475,0.013670158712,575.39436690194,0.000000000000,"Female,Age 15-17",v2025,HCUP 2022
FAGECAT5,1,-0.194149224640,0.010583531444,336.51940476482,0.000000000000,"Female,Age 18-24",v2025,HCUP 2022
FAGECAT6,1,-0.173947487505,0.011386686661,233.36814847325,0.000000000000,"Female,Age 25-29",v2025,HCUP 2022
FAGECAT7,1,-0.121811805532,0.011386942458,114.43648479796,0.000000000000,"Female,Age 30-34",v2025,HCUP 2022
