VARIABLE,DF,Estimate,STDERR,WALDCHISQ,ProbChiSq,LABEL,SoftwareVersion,SrcData
Intercept,1,-7.079777015259,0.039700352206,31801.707543943,0.000000000000,Intercept,v2025,HCUP 2022
FEMALE,1,0.361920563690,0.046058136449,61.746706132274,0.000000000000,Female,v2025,HCUP 2022
AGECAT5,1,-0.843870107838,0.045070393613,350.56495984412,0.000000000000,Age 18-24,v2025,HCUP 2022
AGECAT6,1,-0.150488098150,0.043203997289,12.132671725515,0.000495460867,Age 25-29,v2025,HCUP 2022
AGECAT7,1,0.234073773858,0.041706911741,31.498469225774,0.000000019960,Age 30-34,v2025,HCUP 2022
AGECAT8,1,0.391863604767,0.041444846727,89.398201706307,0.000000000000,Age 35-39,v2025,HCUP 2022
AGECAT9,1,0.492544831961,0.041327431113,142.04132402221,0.000000000000,Age 40-44,v2025,HCUP 2022
AGECAT10,1,0.524175846505,0.041482469069,159.67054746436,0.000000000000,Age 45-49,v2025,HCUP 2022
AGECAT11,1,0.590079234215,0.041178752124,205.34035073764,0.000000000000,Age 50-54,v2025,HCUP 2022
AGECAT12,1,0.660112872948,0.041018618686,258.98483923312,0.000000000000,Age 55-59,v2025,HCUP 2022
AGECAT13,1,0.581240412345,0.041213508355,198.89892341298,0.000000000000,Age 60-64,v2025,HCUP 2022
AGECAT14,1,0.323391279770,0.042345569352,58.323107705750,0.000000000000,Age 65-69,v2025,HCUP 2022
AGECAT15,1,0.157333559289,0.043928548307,12.827707019794,0.000341524035,Age 70-74,v2025,HCUP 2022
AGECAT16,1,0.079206262767,0.046467757577,2.905464774566,0.088279802875,Age 75-79,v2025,HCUP 2022
AGECAT17,1,0.113772032363,0.051007509571,4.975111207396,0.025714550531,Age 80-84,v2025,HCUP 2022
FAGECAT5,1,0.040809997933,0.054845598973,0.553668196752,0.456822732487,"Female,Age 18-24",v2025,HCUP 2022
FAGECAT6,1,-0.077113344743,0.052512109251,2.156453787621,0.141972010933,"Female,Age 25-29",v2025,HCUP 2022
FAGECAT7,1,-0.175585279534,0.050498473518,12.089816411699,0.000506979661,"Female,Age 30-34",v2025,HCUP 2022
FAGECAT8,1,-0.120845004153,0.050007559601,5.839640064039,0.015669031703,"Female,Age 35-39",v2025,HCUP 2022
FAGECAT9,1,-0.109256985681,0.049791262980,4.814954016996,0.028213824463,"Female,Age 40-44",v2025,HCUP 2022
FAGECAT10,1,-0.126494427782,0.050023040495,6.394441502296,0.011447824036,"Female,Age 45-49",v2025,HCUP 2022
FAGECAT11,1,-0.197520832773,0.049686069001,15.803618586900,0.000070267992,"Female,Age 50-54",v2025,HCUP 2022
FAGECAT12,1,-0.315489699483,0.049586815096,40.479760927208,0.000000000199,"Female,Age 55-59",v2025,HCUP 2022
FAGECAT13,1,-0.403333528337,0.050007481737,65.051704586331,0.000000000000,"Female,Age 60-64",v2025,HCUP 2022
FAGECAT14,1,-0.320046791277,0.051523487126,38.584818148918,0.000000000524,"Female,Age 65-69",v2025,HCUP 2022
FAGECAT15,1,-0.222649255185,0.053486718655,17.328085523178,0.000031450410,"Female,Age 70-74",v2025,HCUP 2022
FAGECAT16,1,-0.034318634453,0.056225445236,0.372558255437,0.541613091426,"Female,Age 75-79",v2025,HCUP 2022
FAGECAT17,1,0.023633101749,0.061408812728,0.148108521918,0.700349515344,"Female,Age 80-84",v2025,HCUP 2022
POVCAT1,1,-0.883826331951,0.015987547331,3056.1184757314,0.000000000000,Poverty category 1: Estimated percent of people of all ages in poverty less than or equal to 7.4,v2025,HCUP 2022
POVCAT2,1,-0.702165862242,0.013996240286,2516.8459993860,0.000000000000,Poverty category 2: Estimated percent of people of all ages in poverty larger than 7.4% and less than or equal to 8.7%,v2025,HCUP 2022
POVCAT3,1,-0.524237474161,0.012597829288,1731.6682210349,0.000000000000,Poverty category 3: Estimated percent of people of all ages in poverty larger than 8.7% and less than or equal to 10.1%,v2025,HCUP 2022
POVCAT4,1,-0.584563857948,0.013916754166,1764.3632765436,0.000000000000,Poverty category 4: Estimated percent of people of all ages in poverty larger than 10.1% and less than or equal to 10.9%,v2025,HCUP 2022
POVCAT5,1,-0.380720901178,0.012490370729,929.10068805433,0.000000000000,Poverty category 5: Estimated percent of people of all ages in poverty larger than 10.9% and less than or equal to 12.2%,v2025,HCUP 2022
POVCAT6,1,-0.303745557138,0.011993824625,641.36385356454,0.000000000000,Poverty category 6: Estimated percent of people of all ages in poverty larger than 12.2% and less than or equal to 13.5%,v2025,HCUP 2022
POVCAT7,1,-0.549187671811,0.013720616241,1602.1173522977,0.000000000000,Poverty category 7: Estimated percent of people of all ages in poverty larger than 13.5% and less than or equal to 14.2%,v2025,HCUP 2022
POVCAT8,1,-0.144027207558,0.012426157374,134.34310508924,0.000000000000,Poverty category 8: Estimated percent of people of all ages in poverty larger than 14.2% and less than or equal to 15.9%,v2025,HCUP 2022
POVCAT9,1,-0.119725644485,0.012597907527,90.318670222269,0.000000000000,Poverty category 9: Estimated percent of people of all ages in poverty larger than 15.9% and less than or equal to 18.4%,v2025,HCUP 2022
