VARIABLE,DF,Estimate,STDERR,WALDCHISQ,ProbChiSq,LABEL,SoftwareVersion,SrcData
Intercept,1,-8.077395757102,0.030966827216,68037.649571482,0.000000000000,Intercept,v2025,HCUP 2022
FEMALE,1,-0.154304974734,0.038458004499,16.098535282329,0.000060130525,Female,v2025,HCUP 2022
AGECAT1,1,0.594826038825,0.030885360032,370.91517944372,0.000000000000,Age 18-24,v2025,HCUP 2022
AGECAT2,1,0.652759364400,0.031228989092,436.90837508321,0.000000000000,Age 25-29,v2025,HCUP 2022
AGECAT3,1,0.638572175801,0.031186010016,419.27633896949,0.000000000000,Age 30-34,v2025,HCUP 2022
AGECAT4,1,0.638379795169,0.031264949116,416.91048142956,0.000000000000,Age 35-39,v2025,HCUP 2022
AGECAT5,1,0.666697038087,0.031298026587,453.75679447424,0.000000000000,Age 40-44,v2025,HCUP 2022
AGECAT6,1,0.616163965738,0.031538598124,381.68739907264,0.000000000000,Age 45-49,v2025,HCUP 2022
AGECAT7,1,0.633790773498,0.031413023193,407.07305385144,0.000000000000,Age 50-54,v2025,HCUP 2022
AGECAT8,1,0.597859304633,0.031473493373,360.83452608487,0.000000000000,Age 55-59,v2025,HCUP 2022
AGECAT9,1,0.452975454606,0.031736583073,203.71781339061,0.000000000000,Age 60-64,v2025,HCUP 2022
AGECAT10,1,0.341946295125,0.032287642327,112.16132680646,0.000000000000,Age 65-69,v2025,HCUP 2022
AGECAT11,1,0.208888941168,0.033352290972,39.226499571730,0.000000000377,Age 70-74,v2025,HCUP 2022
AGECAT12,1,0.157654774536,0.035077043111,20.200787610648,0.000006972422,Age 75-79,v2025,HCUP 2022
AGECAT13,1,0.114702588447,0.038945232356,8.674367918285,0.003227167662,Age 80-84,v2025,HCUP 2022
FAGECAT1,1,0.220170474559,0.040195256410,30.003267231222,0.000000043132,"Female,Age 18-24",v2025,HCUP 2022
FAGECAT2,1,0.035897841693,0.040921882595,0.769529841510,0.380362538917,"Female,Age 25-29",v2025,HCUP 2022
FAGECAT3,1,-0.095841467961,0.041012022545,5.461155454267,0.019443785200,"Female,Age 30-34",v2025,HCUP 2022
FAGECAT4,1,-0.145838857395,0.041228650044,12.512620603064,0.000404212238,"Female,Age 35-39",v2025,HCUP 2022
FAGECAT5,1,-0.176862497174,0.041317054037,18.323684650905,0.000018637560,"Female,Age 40-44",v2025,HCUP 2022
FAGECAT6,1,-0.065814022408,0.041535454557,2.510723769386,0.113073989067,"Female,Age 45-49",v2025,HCUP 2022
FAGECAT7,1,-0.052571900770,0.041300746274,1.620285556960,0.203051975335,"Female,Age 50-54",v2025,HCUP 2022
FAGECAT8,1,-0.023260879658,0.041321204943,0.316888380082,0.573483642566,"Female,Age 55-59",v2025,HCUP 2022
FAGECAT9,1,0.005283163474,0.041662282963,0.016080589649,0.899091362661,"Female,Age 60-64",v2025,HCUP 2022
FAGECAT10,1,0.023981807129,0.042420495436,0.319604097789,0.571845664851,"Female,Age 65-69",v2025,HCUP 2022
FAGECAT11,1,0.081585315678,0.043798404851,3.469823701270,0.062497971357,"Female,Age 70-74",v2025,HCUP 2022
FAGECAT12,1,0.124165272546,0.046026855602,7.277424014421,0.006982659913,"Female,Age 75-79",v2025,HCUP 2022
FAGECAT13,1,0.124967868502,0.050924667603,6.021994006092,0.014128674715,"Female,Age 80-84",v2025,HCUP 2022
POVCAT2,1,0.194316093614,0.011963841386,263.80088555332,0.000000000000,Poverty category 2: Estimated percent of people of all ages in poverty larger than 7.4% and less than or equal to 8.7%,v2025,HCUP 2022
POVCAT3,1,0.357585047633,0.011337540639,994.76612452648,0.000000000000,Poverty category 3: Estimated percent of people of all ages in poverty larger than 8.7% and less than or equal to 10.1%,v2025,HCUP 2022
POVCAT4,1,0.465744019616,0.011437390609,1658.2143431229,0.000000000000,Poverty category 4: Estimated percent of people of all ages in poverty larger than 10.1% and less than or equal to 10.9%,v2025,HCUP 2022
POVCAT5,1,0.507752267977,0.011398794217,1984.2021557643,0.000000000000,Poverty category 5: Estimated percent of people of all ages in poverty larger than 10.9% and less than or equal to 12.2%,v2025,HCUP 2022
POVCAT6,1,0.600777726141,0.011143374424,2906.6597645948,0.000000000000,Poverty category 6: Estimated percent of people of all ages in poverty larger than 12.2% and less than or equal to 13.5%,v2025,HCUP 2022
POVCAT7,1,0.501092839986,0.011390081023,1935.4536155949,0.000000000000,Poverty category 7: Estimated percent of people of all ages in poverty larger than 13.5% and less than or equal to 14.2%,v2025,HCUP 2022
POVCAT8,1,0.716625589737,0.010827062103,4380.9002898497,0.000000000000,Poverty category 8: Estimated percent of people of all ages in poverty larger than 14.2% and less than or equal to 15.9%,v2025,HCUP 2022
POVCAT9,1,0.747734976638,0.010881499360,4721.9122313529,0.000000000000,Poverty category 9: Estimated percent of people of all ages in poverty larger than 15.9% and less than or equal to 18.4%,v2025,HCUP 2022
POVCAT10,1,0.852238764745,0.010700458032,6343.3377079906,0.000000000000,Poverty category 10: Estimated percent of people of all ages in poverty larger than 18.4% and less than or equal to 42.4%,v2025,HCUP 2022
