VARIABLE,DF,Estimate,STDERR,WALDCHISQ,ProbChiSq,LABEL,SoftwareVersion,SrcData
Intercept,1,-2.626522513307,0.002702444214,944601.82483195,0.000000000000,Intercept,v2025,HCUP 2022
FEMALE,1,-0.022118563768,0.003406312206,42.164304909520,0.000000000084,Female,v2025,HCUP 2022
AGECAT1,1,-3.968737685275,0.007480903785,281447.01818002,0.000000000000,Age 18-24,v2025,HCUP 2022
AGECAT2,1,-3.680308407700,0.007582856928,235560.62824906,0.000000000000,Age 25-29,v2025,HCUP 2022
AGECAT3,1,-3.357248641128,0.006480158406,268408.19346070,0.000000000000,Age 30-34,v2025,HCUP 2022
AGECAT4,1,-3.065130339470,0.005866727356,272964.44538956,0.000000000000,Age 35-39,v2025,HCUP 2022
AGECAT5,1,-2.690438340967,0.005186159366,269125.20309650,0.000000000000,Age 40-44,v2025,HCUP 2022
AGECAT6,1,-2.357519660884,0.004779447153,243307.40044916,0.000000000000,Age 45-49,v2025,HCUP 2022
AGECAT7,1,-2.046219376965,0.004253917743,231380.20966352,0.000000000000,Age 50-54,v2025,HCUP 2022
AGECAT8,1,-1.729668848947,0.003904111978,196282.41666349,0.000000000000,Age 55-59,v2025,HCUP 2022
AGECAT9,1,-1.502990065062,0.003701463804,164878.94736624,0.000000000000,Age 60-64,v2025,HCUP 2022
AGECAT10,1,-1.343962585401,0.003696064723,132219.41207265,0.000000000000,Age 65-69,v2025,HCUP 2022
AGECAT11,1,-1.143584520147,0.003733631704,93815.281211914,0.000000000000,Age 70-74,v2025,HCUP 2022
AGECAT12,1,-0.836927554444,0.003800992876,48482.122185719,0.000000000000,Age 75-79,v2025,HCUP 2022
AGECAT13,1,-0.444342455874,0.004001635924,12329.926155791,0.000000000000,Age 80-84,v2025,HCUP 2022
FAGECAT1,1,0.293274654144,0.009949182727,868.90890519731,0.000000000000,"Female,Age 18-24",v2025,HCUP 2022
FAGECAT2,1,0.149791017447,0.010363698485,208.90171367180,0.000000000000,"Female,Age 25-29",v2025,HCUP 2022
FAGECAT3,1,-0.019089836488,0.009120662826,4.380781728426,0.036346324198,"Female,Age 30-34",v2025,HCUP 2022
FAGECAT4,1,-0.096101115119,0.008359126099,132.17067282363,0.000000000000,"Female,Age 35-39",v2025,HCUP 2022
FAGECAT5,1,-0.162867586757,0.007413657083,482.61891046575,0.000000000000,"Female,Age 40-44",v2025,HCUP 2022
FAGECAT6,1,-0.210713411872,0.006827352820,952.53219886762,0.000000000000,"Female,Age 45-49",v2025,HCUP 2022
FAGECAT7,1,-0.235111750172,0.006018912361,1525.8527658694,0.000000000000,"Female,Age 50-54",v2025,HCUP 2022
FAGECAT8,1,-0.266238518128,0.005455869423,2381.2985049952,0.000000000000,"Female,Age 55-59",v2025,HCUP 2022
FAGECAT9,1,-0.229945911408,0.005073662673,2054.0367287060,0.000000000000,"Female,Age 60-64",v2025,HCUP 2022
FAGECAT10,1,-0.183101635992,0.004999576927,1341.2753374639,0.000000000000,"Female,Age 65-69",v2025,HCUP 2022
FAGECAT11,1,-0.102040159855,0.004970982766,421.36430813121,0.000000000000,"Female,Age 70-74",v2025,HCUP 2022
FAGECAT12,1,-0.035041267976,0.004997989781,49.155135539520,0.000000000002,"Female,Age 75-79",v2025,HCUP 2022
FAGECAT13,1,-0.023528398869,0.005202947977,20.449645364500,0.000006122090,"Female,Age 80-84",v2025,HCUP 2022
