VARIABLE,DF,Estimate,STDERR,WALDCHISQ,ProbChiSq,LABEL,SoftwareVersion,SrcData
Intercept,1,-3.157153974094,0.003666229014,741570.33040624,0.000000000000,Intercept,v2023,"HCUP 2019, 2020"
FEMALE,1,-0.148327769715,0.003689825830,1615.9696491578,0.000000000000,Female,v2023,"HCUP 2019, 2020"
AGECAT1,1,-3.688488363250,0.007275292416,257037.16831799,0.000000000000,Age 18-24,v2023,"HCUP 2019, 2020"
AGECAT2,1,-3.513610629045,0.007531473100,217644.35422886,0.000000000000,Age 25-29,v2023,"HCUP 2019, 2020"
AGECAT3,1,-3.207587011409,0.006804211817,222229.26129136,0.000000000000,Age 30-34,v2023,"HCUP 2019, 2020"
AGECAT4,1,-2.870435736753,0.006074573457,223287.32986167,0.000000000000,Age 35-39,v2023,"HCUP 2019, 2020"
AGECAT5,1,-2.471408765671,0.005434845652,206782.95435268,0.000000000000,Age 40-44,v2023,"HCUP 2019, 2020"
AGECAT6,1,-2.128853785460,0.004817469325,195278.19506951,0.000000000000,Age 45-49,v2023,"HCUP 2019, 2020"
AGECAT7,1,-1.780118597059,0.004346195774,167756.47980879,0.000000000000,Age 50-54,v2023,"HCUP 2019, 2020"
AGECAT8,1,-1.497070066236,0.003988732871,140868.64886499,0.000000000000,Age 55-59,v2023,"HCUP 2019, 2020"
AGECAT9,1,-1.295329354367,0.003877905369,111574.77023399,0.000000000000,Age 60-64,v2023,"HCUP 2019, 2020"
AGECAT10,1,-1.146458035199,0.003911797052,85894.171461767,0.000000000000,Age 65-69,v2023,"HCUP 2019, 2020"
AGECAT11,1,-0.951677487936,0.003953165458,57954.826299160,0.000000000000,Age 70-74,v2023,"HCUP 2019, 2020"
AGECAT12,1,-0.629948664181,0.004053296828,24154.246884420,0.000000000000,Age 75-79,v2023,"HCUP 2019, 2020"
AGECAT13,1,-0.347535459971,0.004284302824,6580.1823131905,0.000000000000,Age 80-84,v2023,"HCUP 2019, 2020"
FAGECAT1,1,0.330462080048,0.009856501018,1124.0812976236,0.000000000000,"Female,Age 18-24",v2023,"HCUP 2019, 2020"
FAGECAT2,1,0.243706018650,0.010390548773,550.11759930202,0.000000000000,"Female,Age 25-29",v2023,"HCUP 2019, 2020"
FAGECAT3,1,0.068198037055,0.009686829531,49.565607666093,0.000000000002,"Female,Age 30-34",v2023,"HCUP 2019, 2020"
FAGECAT4,1,-0.045962466815,0.008776368361,27.426915743600,0.000000163145,"Female,Age 35-39",v2023,"HCUP 2019, 2020"
FAGECAT5,1,-0.064551139564,0.007796761316,68.545563114842,0.000000000000,"Female,Age 40-44",v2023,"HCUP 2019, 2020"
FAGECAT6,1,-0.095096969269,0.006858593465,192.24861948749,0.000000000000,"Female,Age 45-49",v2023,"HCUP 2019, 2020"
FAGECAT7,1,-0.104125962708,0.006111397225,290.29331454239,0.000000000000,"Female,Age 50-54",v2023,"HCUP 2019, 2020"
FAGECAT8,1,-0.119730106422,0.005527741650,469.14950512147,0.000000000000,"Female,Age 55-59",v2023,"HCUP 2019, 2020"
FAGECAT9,1,-0.111566190081,0.005319529867,439.86428604837,0.000000000000,"Female,Age 60-64",v2023,"HCUP 2019, 2020"
FAGECAT10,1,-0.083445736704,0.005323993433,245.65934194379,0.000000000000,"Female,Age 65-69",v2023,"HCUP 2019, 2020"
FAGECAT11,1,0.004480479288,0.005308413403,0.712392721947,0.398650628780,"Female,Age 70-74",v2023,"HCUP 2019, 2020"
FAGECAT12,1,-0.004430103067,0.005413985567,0.669566124621,0.413202916625,"Female,Age 75-79",v2023,"HCUP 2019, 2020"
FAGECAT13,1,0.013067471261,0.005658804513,5.332535124388,0.020930918561,"Female,Age 80-84",v2023,"HCUP 2019, 2020"
YEAR2020,1,-0.312310076029,0.005559692075,3155.5169299530,0.000000000000,"Year indicator, =1 for year >=2020; =0 otherwise",v2023,"HCUP 2019, 2020"
YEAR2020_FEMALE,1,-0.095608587049,0.005607047072,290.75379756766,0.000000000000,"Year >=2020, Female",v2023,"HCUP 2019, 2020"
YEAR2020_AGE1,1,0.070656501641,0.010684061039,43.735242655307,0.000000000038,"Year >=2020, Age 18-24",v2023,"HCUP 2019, 2020"
YEAR2020_AGE2,1,0.161631922217,0.010983997455,216.53765458532,0.000000000000,"Year >=2020, Age 25-29",v2023,"HCUP 2019, 2020"
YEAR2020_AGE3,1,0.153116256915,0.009844392023,241.91611971714,0.000000000000,"Year >=2020, Age 30-34",v2023,"HCUP 2019, 2020"
YEAR2020_AGE4,1,0.124263662246,0.008844749542,197.38639657281,0.000000000000,"Year >=2020, Age 35-39",v2023,"HCUP 2019, 2020"
YEAR2020_AGE5,1,0.098709633798,0.007948183188,154.23514472384,0.000000000000,"Year >=2020, Age 40-44",v2023,"HCUP 2019, 2020"
YEAR2020_AGE6,1,0.088489144342,0.007125447015,154.22534884819,0.000000000000,"Year >=2020, Age 45-49",v2023,"HCUP 2019, 2020"
YEAR2020_AGE7,1,0.068671711202,0.006448393390,113.41035002162,0.000000000000,"Year >=2020, Age 50-54",v2023,"HCUP 2019, 2020"
YEAR2020_AGE8,1,0.075202273438,0.005938975621,160.33888337725,0.000000000000,"Year >=2020, Age 55-59",v2023,"HCUP 2019, 2020"
YEAR2020_AGE9,1,0.074312417365,0.005770524946,165.84108576076,0.000000000000,"Year >=2020, Age 60-64",v2023,"HCUP 2019, 2020"
YEAR2020_AGE10,1,0.048783369369,0.005831380549,69.984331398183,0.000000000000,"Year >=2020, Age 65-69",v2023,"HCUP 2019, 2020"
YEAR2020_AGE11,1,0.006497601788,0.005915403645,1.206528024967,0.272020829372,"Year >=2020, Age 70-74",v2023,"HCUP 2019, 2020"
YEAR2020_AGE12,1,0.001530517380,0.006088844363,0.063183951731,0.801532557869,"Year >=2020, Age 75-79",v2023,"HCUP 2019, 2020"
YEAR2020_AGE13,1,-0.002860698755,0.006446660099,0.196913145163,0.657224088919,"Year >=2020, Age 80-84",v2023,"HCUP 2019, 2020"
YEAR2020_FEMALE_AGE1,1,0.039725803629,0.014566575819,7.437559200636,0.006387646292,"Year >=2020, Female, Age 18-24",v2023,"HCUP 2019, 2020"
YEAR2020_FEMALE_AGE2,1,0.023736203203,0.015271225822,2.415876359018,0.120110736073,"Year >=2020, Female, Age 25-29",v2023,"HCUP 2019, 2020"
YEAR2020_FEMALE_AGE3,1,0.019456367028,0.014135372644,1.894562672419,0.168688193817,"Year >=2020, Female, Age 30-34",v2023,"HCUP 2019, 2020"
YEAR2020_FEMALE_AGE4,1,0.059259752251,0.012850014508,21.267303407680,0.000003994878,"Year >=2020, Female, Age 35-39",v2023,"HCUP 2019, 2020"
YEAR2020_FEMALE_AGE5,1,0.037881755290,0.011489753942,10.870229971629,0.000977223946,"Year >=2020, Female, Age 40-44",v2023,"HCUP 2019, 2020"
YEAR2020_FEMALE_AGE6,1,0.040984092183,0.010225107235,16.065524055029,0.000061187923,"Year >=2020, Female, Age 45-49",v2023,"HCUP 2019, 2020"
YEAR2020_FEMALE_AGE7,1,0.015502912937,0.009155914333,2.866970175048,0.090414935946,"Year >=2020, Female, Age 50-54",v2023,"HCUP 2019, 2020"
YEAR2020_FEMALE_AGE8,1,0.009646305851,0.008303306530,1.349646130236,0.245339990316,"Year >=2020, Female, Age 55-59",v2023,"HCUP 2019, 2020"
YEAR2020_FEMALE_AGE9,1,0.013498774674,0.007976984081,2.863592691095,0.090604926437,"Year >=2020, Female, Age 60-64",v2023,"HCUP 2019, 2020"
YEAR2020_FEMALE_AGE10,1,0.030590668936,0.007986982945,14.669402798988,0.000128109082,"Year >=2020, Female, Age 65-69",v2023,"HCUP 2019, 2020"
YEAR2020_FEMALE_AGE11,1,0.043114088180,0.007986754083,29.140552815691,0.000000067313,"Year >=2020, Female, Age 70-74",v2023,"HCUP 2019, 2020"
YEAR2020_FEMALE_AGE12,1,0.063275175144,0.008168678863,60.001632431243,0.000000000000,"Year >=2020, Female, Age 75-79",v2023,"HCUP 2019, 2020"
YEAR2020_FEMALE_AGE13,1,0.047116007722,0.008554326938,30.336486437017,0.000000036323,"Year >=2020, Female, Age 80-84",v2023,"HCUP 2019, 2020"
POVCAT2,1,0.038247683491,0.003279358208,136.02932974701,0.000000000000,"County decile 2, 6.8 < percent in poverty <= 8.5",v2023,"HCUP 2019, 2020"
POVCAT3,1,0.132155658415,0.003196206666,1709.6287780392,0.000000000000,"County decile 3, 8.5 < percent in poverty <= 9.6",v2023,"HCUP 2019, 2020"
POVCAT4,1,0.235702465887,0.003109414289,5746.0721154802,0.000000000000,"County decile 4, 9.6 < percent in poverty <= 11.0",v2023,"HCUP 2019, 2020"
POVCAT5,1,0.198588009005,0.003125989973,4035.8115809634,0.000000000000,"County decile 5, 11.0 < percent in poverty <= 12.2",v2023,"HCUP 2019, 2020"
POVCAT6,1,0.380205078702,0.003017572946,15875.239020157,0.000000000000,"County decile 6, 12.2 < percent in poverty <= 13.3",v2023,"HCUP 2019, 2020"
POVCAT7,1,0.371342845129,0.003105609693,14297.377163806,0.000000000000,"County decile 7, 13.3 < percent in poverty <= 14.0",v2023,"HCUP 2019, 2020"
POVCAT8,1,0.461095570024,0.003117738591,21872.705331174,0.000000000000,"County decile 8, 14.0 < percent in poverty <= 15.4",v2023,"HCUP 2019, 2020"
POVCAT9,1,0.514139480636,0.003025223861,28883.304234197,0.000000000000,"County decile 9, 15.4 < percent in poverty <= 18.0",v2023,"HCUP 2019, 2020"
POVCAT10,1,0.683957038852,0.002932827808,54385.674084367,0.000000000000,"County decile 10, 18.0 < percent in poverty <= 47.7",v2023,"HCUP 2019, 2020"
YEAR2020_POV2,1,0.108049931166,0.004920498015,482.20406513404,0.000000000000,"Year >=2020, County decile 2, 6.7 < percent in poverty <= 8.1",v2023,"HCUP 2019, 2020"
YEAR2020_POV3,1,0.102913823063,0.004818202643,456.22313078360,0.000000000000,"Year >=2020, County decile 3, 8.1 < percent in poverty <= 9.3",v2023,"HCUP 2019, 2020"
