Variable,DF,Estimate,LowerCL,UpperCL,ZStat,ProbZStat,Model,zlabel,SoftVer,SrcData
Intercept,1,-5.425963772305,-5.622578130103,-5.229349414507,-54.08909956645,0.000000000000,Gee,Intercept,v2023,"HCUP 2019, 2020, 2021"
Age_LT30,1,-0.630291937569,-0.810834637055,-0.449749238083,-6.842422877807,0.000000000008,Gee,Age < 30,v2023,"HCUP 2019, 2020, 2021"
Age_30_34,1,-0.503311327068,-0.781533672469,-0.225088981667,-3.545624894520,0.000391683326,Gee,30 <= Age <= 34,v2023,"HCUP 2019, 2020, 2021"
Age_35_39,1,-0.534802513513,-0.684863207675,-0.384741819351,-6.985131390869,0.000000000003,Gee,35 <= Age <= 39,v2023,"HCUP 2019, 2020, 2021"
Age_40_44,1,-0.367955299016,-0.496606267329,-0.239304330704,-5.605703116387,0.000000020741,Gee,40 <= Age <= 44,v2023,"HCUP 2019, 2020, 2021"
Age_45_49,1,-0.261680210720,-0.367463154621,-0.155897266820,-4.848454482044,0.000001244271,Gee,45 <= Age <= 49,v2023,"HCUP 2019, 2020, 2021"
Age_50_54,1,-0.125677276300,-0.182820385387,-0.068534167214,-4.310632360786,0.000016278835,Gee,50 <= Age <= 54,v2023,"HCUP 2019, 2020, 2021"
Age_55_59,1,-0.048830483600,-0.106320868995,0.008659901795,-1.664730346571,0.095966565761,Gee,55 <= Age <= 59,v2023,"HCUP 2019, 2020, 2021"
Age_60_64,1,-0.065434158191,-0.133685529768,0.002817213386,-1.879062507467,0.060235958733,Gee,60 <= Age <= 64,v2023,"HCUP 2019, 2020, 2021"
Age_70_74,1,0.044196497049,-0.003885361742,0.092278355839,1.801584727315,0.071610765937,Gee,70 <= Age <= 74,v2023,"HCUP 2019, 2020, 2021"
Age_75_79,1,0.120780068765,0.052787210880,0.188772926650,3.481609571845,0.000498409820,Gee,75 <= Age <= 79,v2023,"HCUP 2019, 2020, 2021"
Age_80_84,1,0.035935462490,-0.021739354363,0.093610279344,1.221195247619,0.222012103183,Gee,80 <= Age <= 84,v2023,"HCUP 2019, 2020, 2021"
Age_85_89,1,0.011098500311,-0.064615072976,0.086812073598,0.287301998141,0.773881092830,Gee,85 <= Age <= 89,v2023,"HCUP 2019, 2020, 2021"
Age_90Plus,1,-0.032495074284,-0.125245735013,0.060255586445,-0.686670852495,0.492290168642,Gee,Age >= 90,v2023,"HCUP 2019, 2020, 2021"
MALE,1,0.200552538593,0.167657303295,0.233447773891,11.949321811712,0.000000000000,Gee,Patient Sex Flag: 1=Male / 0=Female,v2023,"HCUP 2019, 2020, 2021"
Age_LT30_MALE,1,0.382310554238,0.206262519327,0.558358589149,4.256309464592,0.000020782899,Gee,Age < 30 MALE,v2023,"HCUP 2019, 2020, 2021"
Age_30_34_MALE,1,0.247001515578,-0.038013857505,0.532016888660,1.698554254894,0.089403201868,Gee,30 <= Age <= 34 MALE,v2023,"HCUP 2019, 2020, 2021"
Age_35_39_MALE,1,0.370113242335,0.208348123124,0.531878361546,4.484332770344,0.000007314244,Gee,35 <= Age <= 39 MALE,v2023,"HCUP 2019, 2020, 2021"
Age_40_44_MALE,1,0.171691627300,0.025597001325,0.317786253275,2.303366080098,0.021258254551,Gee,40 <= Age <= 44 MALE,v2023,"HCUP 2019, 2020, 2021"
Age_45_49_MALE,1,0.105711007782,-0.015317209058,0.226739224622,1.711912919411,0.086912717439,Gee,45 <= Age <= 49 MALE,v2023,"HCUP 2019, 2020, 2021"
Age_60_64_MALE,1,0.061432055479,-0.013611689464,0.136475800422,1.604459056873,0.108612902398,Gee,60 <= Age <= 64 MALE,v2023,"HCUP 2019, 2020, 2021"
Age_75_79_MALE,1,-0.036768360777,-0.113669848246,0.040133126692,-0.937103627848,0.348705255501,Gee,75 <= Age <= 79 MALE,v2023,"HCUP 2019, 2020, 2021"
CMR_ALCOHOL,1,-0.089858367993,-0.152950832664,-0.026765903322,-2.791445315936,0.005247322348,Gee,Alcohol abuse,v2023,"HCUP 2019, 2020, 2021"
CMR_ANEMDEF,1,-0.183768403962,-0.241760752371,-0.125776055554,-6.210809928292,0.000000000527,Gee,Anemias due to other nutritional deficiencies,v2023,"HCUP 2019, 2020, 2021"
CMR_AUTOIMMUNE,1,0.025695703954,-0.043754694139,0.095146102047,0.725160052214,0.468353846921,Gee,Autoimmune conditions,v2023,"HCUP 2019, 2020, 2021"
CMR_CANCER_LEUK,1,0.264446492658,0.150122790669,0.378770194647,4.533667056177,0.000005796838,Gee,Leukemia,v2023,"HCUP 2019, 2020, 2021"
CMR_CANCER_LYMPH,1,0.069126486614,-0.031446524584,0.169699497812,1.347135006972,0.177936755352,Gee,Lymphoma,v2023,"HCUP 2019, 2020, 2021"
CMR_CANCER_METS,1,0.041610655237,-0.023088876675,0.106310187148,1.260525126345,0.207479989609,Gee,Metastatic cancer,v2023,"HCUP 2019, 2020, 2021"
CMR_CANCER_NSITU,1,-1.038523399377,-2.170385897857,0.093339099102,-1.798335453835,0.072123864611,Gee,"Solid tumor without metastasis, in situ",v2023,"HCUP 2019, 2020, 2021"
CMR_CBVD,1,-0.185492477164,-0.242759970890,-0.128224983437,-6.348428244119,0.000000000218,Gee,Cerebrovascular disease,v2023,"HCUP 2019, 2020, 2021"
CMR_COAG,1,0.056469148194,0.012310065611,0.100628230778,2.506335961362,0.012198964757,Gee,Coagulopathy,v2023,"HCUP 2019, 2020, 2021"
CMR_DEMENTIA,1,0.198064319037,0.136190943906,0.259937694168,6.274086893007,0.000000000352,Gee,Dementia,v2023,"HCUP 2019, 2020, 2021"
CMR_DEPRESS,1,-0.140965358553,-0.203630687797,-0.078300029310,-4.408929613347,0.000010388278,Gee,Depression,v2023,"HCUP 2019, 2020, 2021"
CMR_DIAB_CX,1,0.242600290211,0.195184928784,0.290015651638,10.028138922545,0.000000000000,Gee,Diabetes with chronic complications,v2023,"HCUP 2019, 2020, 2021"
CMR_DIAB_UNCX,1,-0.164545378414,-0.224642234376,-0.104448522451,-5.366387481485,0.000000080329,Gee,Diabetes without chronic complications,v2023,"HCUP 2019, 2020, 2021"
CMR_DRUG_ABUSE,1,-0.103291337427,-0.175743688543,-0.030838986312,-2.794212998681,0.005202619860,Gee,Drug abuse,v2023,"HCUP 2019, 2020, 2021"
CMR_HF,1,0.106250162075,0.023234937738,0.189265386412,2.508533738008,0.012123339035,Gee,Heart failure,v2023,"HCUP 2019, 2020, 2021"
CMR_HTN_CX,1,-0.080455171625,-0.163633913771,0.002723570521,-1.895787729982,0.057988119007,Gee,"Hypertension, complicated",v2023,"HCUP 2019, 2020, 2021"
CMR_HTN_UNCX,1,-0.543831345246,-0.587476991655,-0.500185698837,-24.42144722431,0.000000000000,Gee,"Hypertension, uncomplicated",v2023,"HCUP 2019, 2020, 2021"
CMR_LIVER_MLD,1,-0.150484117326,-0.212869618122,-0.088098616530,-4.727756392776,0.000002270143,Gee,"Liver disease, mild",v2023,"HCUP 2019, 2020, 2021"
CMR_LIVER_SEV,1,0.132061189681,0.042330770707,0.221791608656,2.884586726425,0.003919277898,Gee,"Liver disease, moderate to severe",v2023,"HCUP 2019, 2020, 2021"
CMR_LUNG_CHRONIC,1,-0.162617236303,-0.200284348718,-0.124950123887,-8.461597026569,0.000000000000,Gee,Chronic pulmonary disease,v2023,"HCUP 2019, 2020, 2021"
CMR_NEURO_MOVT,1,-0.140571712539,-0.225490924473,-0.055652500606,-3.244442424136,0.001176808055,Gee,Neurological disorders affecting movement,v2023,"HCUP 2019, 2020, 2021"
CMR_NEURO_OTH,1,0.220035041750,0.171437906518,0.268632176983,8.874201228239,0.000000000000,Gee,Other neurological disorders,v2023,"HCUP 2019, 2020, 2021"
CMR_NEURO_SEIZ,1,-0.159289232301,-0.219172367325,-0.099406097277,-5.213507247250,0.000000185303,Gee,Seizures and epilepsy,v2023,"HCUP 2019, 2020, 2021"
CMR_OBESE,1,0.029765104294,-0.011288864821,0.070819073408,1.421020516900,0.155310794961,Gee,Obesity,v2023,"HCUP 2019, 2020, 2021"
CMR_PARALYSIS,1,0.565751295557,0.505756098965,0.625746492150,18.482349029312,0.000000000000,Gee,Paralysis,v2023,"HCUP 2019, 2020, 2021"
CMR_PERIVASC,1,0.172756763828,0.127195854997,0.218317672660,7.431744534370,0.000000000000,Gee,Peripheral vascular disease,v2023,"HCUP 2019, 2020, 2021"
CMR_PSYCHOSES,1,-0.110152723452,-0.181970763865,-0.038334683038,-3.006143992786,0.002645836731,Gee,Psychoses,v2023,"HCUP 2019, 2020, 2021"
CMR_PULMCIRC,1,0.020373586834,-0.039924317903,0.080671491571,0.662236882100,0.507819420641,Gee,Pulmonary circulation disease,v2023,"HCUP 2019, 2020, 2021"
CMR_RENLFL_MOD,1,-0.388776571591,-0.473902495600,-0.303650647583,-8.951304637499,0.000000000000,Gee,"Renal failure, moderate",v2023,"HCUP 2019, 2020, 2021"
CMR_RENLFL_SEV,1,0.222401676656,0.158856607900,0.285946745412,6.859686910132,0.000000000007,Gee,"Renal failure, severe",v2023,"HCUP 2019, 2020, 2021"
CMR_THYROID_HYPO,1,-0.266353346566,-0.331885512054,-0.200821181079,-7.966209609380,0.000000000000,Gee,Hypothyroidism,v2023,"HCUP 2019, 2020, 2021"
CMR_THYROID_OTH,1,-0.213257373355,-0.340041120942,-0.086473625768,-3.296769334931,0.000978037893,Gee,Other thyroid disorders,v2023,"HCUP 2019, 2020, 2021"
CMR_ULCER_PEPTIC,1,0.134200043299,0.040845025312,0.227555061285,2.817494519978,0.004839994061,Gee,Peptic ulcer disease x bleeding,v2023,"HCUP 2019, 2020, 2021"
CMR_VALVE,1,-0.122723498732,-0.178510859627,-0.066936137837,-4.311615278309,0.000016206624,Gee,Valvular disease,v2023,"HCUP 2019, 2020, 2021"
CMR_WGHTLOSS,1,0.785816687256,0.736450361985,0.835183012527,31.198846521773,0.000000000000,Gee,Weight loss,v2023,"HCUP 2019, 2020, 2021"
PS03_NonWt_1,1,0.202395156972,0.146099874098,0.258690439846,7.046544542638,0.000000000002,Gee,"PS03 Comorbidty count using non-weighted method, category 1, count > 2 and count <= 4",v2023,"HCUP 2019, 2020, 2021"
PS03_NonWt_2,1,0.137474930899,0.048355464587,0.226594397211,3.023423775846,0.002499319823,Gee,"PS03 Comorbidty count using non-weighted method, category 2, count >= 5",v2023,"HCUP 2019, 2020, 2021"
MDC_1,1,0.682231083760,0.522347799770,0.842114367749,8.363278010927,0.000000000000,Gee,Diseases and disorders of the nervous system,v2023,"HCUP 2019, 2020, 2021"
MDC_2,1,-2.972608023588,-4.121543835267,-1.823672211910,-5.070957495768,0.000000395819,Gee,Diseases and disorders of the eye,v2023,"HCUP 2019, 2020, 2021"
MDC_3,1,-0.939519520688,-1.174249531178,-0.704789510199,-7.844861504845,0.000000000000,Gee,"Diseases and disorders of the ear, nose, mouth and throat",v2023,"HCUP 2019, 2020, 2021"
MDC_4,1,0.668356156203,0.517980292138,0.818732020268,8.711198456914,0.000000000000,Gee,Diseases and disorders of the respiratory system,v2023,"HCUP 2019, 2020, 2021"
MDC_5,1,0.608790726601,0.452762724854,0.764818728348,7.647395883440,0.000000000000,Gee,Diseases and disorders of the circulatory system,v2023,"HCUP 2019, 2020, 2021"
MDC_6,1,-0.838416772723,-1.018121827269,-0.658711718176,-9.144242952546,0.000000000000,Gee,Diseases and disorders of the digestive system,v2023,"HCUP 2019, 2020, 2021"
MDC_8,1,-0.429779153213,-0.594642292916,-0.264916013511,-5.109399609422,0.000000323184,Gee,Diseases and disorders of the musculoskeletal system and connective tissue,v2023,"HCUP 2019, 2020, 2021"
MDC_9,1,-1.382848210176,-1.618998960377,-1.146697459975,-11.47712927325,0.000000000000,Gee,"Diseases and disorders of the skin, subcutaneous tissue and breast",v2023,"HCUP 2019, 2020, 2021"
