Variable,DF,Estimate,LowerCL,UpperCL,ZStat,ProbZStat,Model,zlabel,SoftVer,SrcData
Intercept,1,-4.640250263093,-4.913951749735,-4.366548776450,-33.22862256422,0.000000000000,Gee,Intercept,v2023,"HCUP 2019, 2020, 2021"
Age_LT30,1,-0.851928604851,-1.174101784826,-0.529755424876,-5.182769661449,0.000000218615,Gee,Age < 30,v2023,"HCUP 2019, 2020, 2021"
Age_30_34,1,-0.729969839050,-1.065248422339,-0.394691255760,-4.267241230565,0.000019790512,Gee,30 <= Age <= 34,v2023,"HCUP 2019, 2020, 2021"
Age_35_39,1,-0.520955926354,-0.813010470305,-0.228901382402,-3.496110142209,0.000472093790,Gee,35 <= Age <= 39,v2023,"HCUP 2019, 2020, 2021"
Age_40_44,1,-0.447443647749,-0.709997342477,-0.184889953022,-3.340167943972,0.000837277404,Gee,40 <= Age <= 44,v2023,"HCUP 2019, 2020, 2021"
Age_45_49,1,-0.254790041305,-0.567786999651,0.058206917040,-1.595476541425,0.110605711739,Gee,45 <= Age <= 49,v2023,"HCUP 2019, 2020, 2021"
Age_50_54,1,-0.039006748093,-0.234012511840,0.155999015654,-0.392049034593,0.695021983601,Gee,50 <= Age <= 54,v2023,"HCUP 2019, 2020, 2021"
Age_55_59,1,-0.070692579848,-0.252015284927,0.110630125230,-0.764134367051,0.444787173935,Gee,55 <= Age <= 59,v2023,"HCUP 2019, 2020, 2021"
Age_60_64,1,-0.039022001171,-0.208120861423,0.130076859081,-0.452289960947,0.651060107156,Gee,60 <= Age <= 64,v2023,"HCUP 2019, 2020, 2021"
Age_70_74,1,0.361299353896,0.215226880181,0.507371827610,4.847824530288,0.000001248227,Gee,70 <= Age <= 74,v2023,"HCUP 2019, 2020, 2021"
Age_75_79,1,0.228709107205,0.067014687860,0.390403526550,2.772276339984,0.005566575829,Gee,75 <= Age <= 79,v2023,"HCUP 2019, 2020, 2021"
Age_80_84,1,0.301442178459,0.089750259799,0.513134097119,2.790922851187,0.005255799817,Gee,80 <= Age <= 84,v2023,"HCUP 2019, 2020, 2021"
Age_85Plus,1,0.602695107061,0.419205104237,0.786185109885,6.437738761327,0.000000000121,Gee,Age >= 85,v2023,"HCUP 2019, 2020, 2021"
MALE,1,-0.039609496337,-0.130383302322,0.051164309648,-0.855237757454,0.392419537414,Gee,Patient Sex Flag: 1=Male / 0=Female,v2023,"HCUP 2019, 2020, 2021"
Age_45_49_MALE,1,-0.378286143350,-0.790065815065,0.033493528365,-1.800543513303,0.071774859274,Gee,45 <= Age <= 49 MALE,v2023,"HCUP 2019, 2020, 2021"
Age_80_84_MALE,1,0.214205867132,-0.044207716703,0.472619450967,1.624666082278,0.104233728168,Gee,80 <= Age <= 84 MALE,v2023,"HCUP 2019, 2020, 2021"
CMR_AIDS,1,-0.534795609200,-1.116194464332,0.046603245933,-1.802858956238,0.071410368310,Gee,Acquired immune deficiency syndrome,v2023,"HCUP 2019, 2020, 2021"
CMR_ANEMDEF,1,-0.312867878245,-0.417308258045,-0.208427498445,-5.871385899362,0.000000004322,Gee,Anemias due to other nutritional deficiencies,v2023,"HCUP 2019, 2020, 2021"
CMR_CANCER_METS,1,0.779703144514,0.660192512736,0.899213776291,12.787063871658,0.000000000000,Gee,Metastatic cancer,v2023,"HCUP 2019, 2020, 2021"
CMR_CBVD,1,0.164606073731,0.009178277474,0.320033869987,2.075703213447,0.037921408564,Gee,Cerebrovascular disease,v2023,"HCUP 2019, 2020, 2021"
CMR_COAG,1,0.587484167663,0.476192378001,0.698775957324,10.346206253044,0.000000000000,Gee,Coagulopathy,v2023,"HCUP 2019, 2020, 2021"
CMR_DEPRESS,1,-0.404606720941,-0.543602597843,-0.265610844040,-5.705310248232,0.000000011613,Gee,Depression,v2023,"HCUP 2019, 2020, 2021"
CMR_DRUG_ABUSE,1,-0.240008571477,-0.506351239707,0.026334096752,-1.766176479357,0.077366245778,Gee,Drug abuse,v2023,"HCUP 2019, 2020, 2021"
CMR_HF,1,0.312393045533,0.209190580317,0.415595510750,5.932795471341,0.000000002978,Gee,Heart failure,v2023,"HCUP 2019, 2020, 2021"
CMR_HTN_UNCX,1,-0.239688518403,-0.340426469535,-0.138950567271,-4.663395059158,0.000003110348,Gee,"Hypertension, uncomplicated",v2023,"HCUP 2019, 2020, 2021"
CMR_LIVER_SEV,1,0.919583479801,0.607648172314,1.231518787289,5.777962474680,0.000000007561,Gee,"Liver disease, moderate to severe",v2023,"HCUP 2019, 2020, 2021"
CMR_LUNG_CHRONIC,1,0.131864024412,0.031084354553,0.232643694270,2.564492809574,0.010332672024,Gee,Chronic pulmonary disease,v2023,"HCUP 2019, 2020, 2021"
CMR_NEURO_OTH,1,0.602606478078,0.485385036284,0.719827919873,10.075690725214,0.000000000000,Gee,Other neurological disorders,v2023,"HCUP 2019, 2020, 2021"
CMR_OBESE,1,-0.177931900501,-0.282572263721,-0.073291537280,-3.332749485456,0.000859923332,Gee,Obesity,v2023,"HCUP 2019, 2020, 2021"
CMR_PERIVASC,1,0.209639851877,0.101327181650,0.317952522104,3.793522572584,0.000148525122,Gee,Peripheral vascular disease,v2023,"HCUP 2019, 2020, 2021"
CMR_PSYCHOSES,1,-0.289111287658,-0.547167188608,-0.031055386707,-2.195833186708,0.028103885353,Gee,Psychoses,v2023,"HCUP 2019, 2020, 2021"
CMR_RENLFL_MOD,1,0.240440748878,0.108805867614,0.372075630142,3.580017725475,0.000343570901,Gee,"Renal failure, moderate",v2023,"HCUP 2019, 2020, 2021"
CMR_RENLFL_SEV,1,0.639704174417,0.471178621110,0.808229727724,7.439804338363,0.000000000000,Gee,"Renal failure, severe",v2023,"HCUP 2019, 2020, 2021"
CMR_WGHTLOSS,1,0.126729058377,0.001350010306,0.252108106447,1.981067762402,0.047583674953,Gee,Weight loss,v2023,"HCUP 2019, 2020, 2021"
MDC_1,1,0.705950574611,0.500000474692,0.911900674530,6.718315269800,0.000000000018,Gee,Diseases and disorders of the nervous system,v2023,"HCUP 2019, 2020, 2021"
MDC_4,1,0.865945233373,0.676974270441,1.054916196305,8.981387635760,0.000000000000,Gee,Diseases and disorders of the respiratory system,v2023,"HCUP 2019, 2020, 2021"
MDC_5,1,0.398720861946,0.244514191373,0.552927532518,5.067734919604,0.000000402578,Gee,Diseases and disorders of the circulatory system,v2023,"HCUP 2019, 2020, 2021"
MDC_8,1,-0.166419880947,-0.353827330716,0.020987568822,-1.740469620440,0.081776589984,Gee,Diseases and disorders of the musculoskeletal system and connective tissue,v2023,"HCUP 2019, 2020, 2021"
