Variable,DF,Estimate,LowerCL,UpperCL,ZStat,ProbZStat,Model,zlabel,SoftVer,SrcData
Intercept,1,-3.146000616712,-3.289294425827,-3.002706807597,-43.03080462570,0.000000000000,Gee,Intercept,v2025,"HCUP 2020, 2021, 2022"
Age_LT30,1,-1.173227214757,-1.516624652618,-0.829829776896,-6.696273277190,0.000000000021,Gee,Age < 30,v2025,"HCUP 2020, 2021, 2022"
Age_30_34,1,-0.591401611764,-0.875895772676,-0.306907450852,-4.074339718400,0.000046145081,Gee,30 <= Age <= 34,v2025,"HCUP 2020, 2021, 2022"
Age_35_39,1,-0.722296448750,-0.970994000540,-0.473598896960,-5.692356098896,0.000000012530,Gee,35 <= Age <= 39,v2025,"HCUP 2020, 2021, 2022"
Age_40_44,1,-0.500089627513,-0.729276964450,-0.270902290575,-4.276665858003,0.000018971323,Gee,40 <= Age <= 44,v2025,"HCUP 2020, 2021, 2022"
Age_45_49,1,-0.444563999375,-0.717374656476,-0.171753342274,-3.193898056830,0.001403656751,Gee,45 <= Age <= 49,v2025,"HCUP 2020, 2021, 2022"
Age_50_54,1,-0.293716637012,-0.447533780135,-0.139899493888,-3.742586934794,0.000182135491,Gee,50 <= Age <= 54,v2025,"HCUP 2020, 2021, 2022"
Age_55_59,1,-0.246105577510,-0.382965873846,-0.109245281173,-3.524455822656,0.000424353568,Gee,55 <= Age <= 59,v2025,"HCUP 2020, 2021, 2022"
Age_60_64,1,-0.086664478485,-0.205450466006,0.032121509037,-1.429960386015,0.152728388970,Gee,60 <= Age <= 64,v2025,"HCUP 2020, 2021, 2022"
Age_70_74,1,0.093060184534,-0.023255711975,0.209376081043,1.568097014724,0.116858493139,Gee,70 <= Age <= 74,v2025,"HCUP 2020, 2021, 2022"
Age_75_79,1,0.193475278798,0.081207330862,0.305743226734,3.377674441491,0.000731015707,Gee,75 <= Age <= 79,v2025,"HCUP 2020, 2021, 2022"
Age_80_84,1,0.238492543017,0.112435970776,0.364549115259,3.708150924497,0.000208778215,Gee,80 <= Age <= 84,v2025,"HCUP 2020, 2021, 2022"
Age_85Plus,1,0.497152052015,0.317358471357,0.676945632673,5.419548980690,0.000000059750,Gee,Age >= 85,v2025,"HCUP 2020, 2021, 2022"
