Variable,DF,Estimate,LowerCL,UpperCL,ZStat,ProbZStat,Model,zlabel,SoftVer,SrcData
Intercept,1,-3.174413028857,-3.252850689168,-3.095975368546,-79.32076484636,0.000000000000,Gee,Intercept,v2025,"HCUP 2020, 2021, 2022"
Age_LT30,1,-0.995798266289,-1.104984490937,-0.886612041642,-17.87522871217,0.000000000000,Gee,Age < 30,v2025,"HCUP 2020, 2021, 2022"
Age_30_34,1,-0.733512036408,-0.852402005804,-0.614622067012,-12.09233361641,0.000000000000,Gee,30 <= Age <= 34,v2025,"HCUP 2020, 2021, 2022"
Age_35_39,1,-0.635449519998,-0.736923428589,-0.533975611408,-12.27367892389,0.000000000000,Gee,35 <= Age <= 39,v2025,"HCUP 2020, 2021, 2022"
Age_40_44,1,-0.442877398204,-0.534707608124,-0.351047188283,-9.452485742927,0.000000000000,Gee,40 <= Age <= 44,v2025,"HCUP 2020, 2021, 2022"
Age_45_49,1,-0.385441664652,-0.465220599484,-0.305662729820,-9.469313954227,0.000000000000,Gee,45 <= Age <= 49,v2025,"HCUP 2020, 2021, 2022"
Age_50_54,1,-0.350557087714,-0.418371349917,-0.282742825510,-10.13178119351,0.000000000000,Gee,50 <= Age <= 54,v2025,"HCUP 2020, 2021, 2022"
Age_55_59,1,-0.272813573844,-0.334611324838,-0.211015822850,-8.652495772490,0.000000000000,Gee,55 <= Age <= 59,v2025,"HCUP 2020, 2021, 2022"
Age_60_64,1,-0.067256566426,-0.120853497237,-0.013659635615,-2.459477547007,0.013913940069,Gee,60 <= Age <= 64,v2025,"HCUP 2020, 2021, 2022"
Age_70_74,1,0.133935630712,0.084382496472,0.183488764953,5.297525907658,0.000000117382,Gee,70 <= Age <= 74,v2025,"HCUP 2020, 2021, 2022"
Age_75_79,1,0.207895649205,0.138360204962,0.277431093448,5.859860239912,0.000000004633,Gee,75 <= Age <= 79,v2025,"HCUP 2020, 2021, 2022"
Age_80_84,1,0.291887259122,0.216916552522,0.366857965722,7.630827310690,0.000000000000,Gee,80 <= Age <= 84,v2025,"HCUP 2020, 2021, 2022"
Age_85Plus,1,0.291277482610,0.212922940697,0.369632024523,7.286027861117,0.000000000000,Gee,Age >= 85,v2025,"HCUP 2020, 2021, 2022"
MALE,1,-0.003780638491,-0.040244422647,0.032683145666,-0.203213008519,0.838968545636,Gee,Patient Sex Flag: 1=Male / 0=Female,v2025,"HCUP 2020, 2021, 2022"
Age_75_79_MALE,1,0.030447689476,-0.051177414764,0.112072793717,0.731103198471,0.464716120816,Gee,75 <= Age <= 79 MALE,v2025,"HCUP 2020, 2021, 2022"
Age_80_84_MALE,1,0.054762410509,-0.030149691942,0.139674512959,1.264040686855,0.206215423761,Gee,80 <= Age <= 84 MALE,v2025,"HCUP 2020, 2021, 2022"
Age_85Plus_MALE,1,0.214785389900,0.118174168607,0.311396611193,4.357378190372,0.000013162971,Gee,Age >= 85 MALE,v2025,"HCUP 2020, 2021, 2022"
CMR_ALCOHOL,1,-0.110479652791,-0.164020082742,-0.056939222840,-4.044348181238,0.000052468895,Gee,Alcohol abuse,v2025,"HCUP 2020, 2021, 2022"
CMR_ANEMDEF,1,-0.255945570969,-0.292271936168,-0.219619205770,-13.80936678796,0.000000000000,Gee,Anemias due to other nutritional deficiencies,v2025,"HCUP 2020, 2021, 2022"
CMR_CANCER_LYMPH,1,0.131379138111,-0.006256208164,0.269014484385,1.870873914204,0.061362559468,Gee,Lymphoma,v2025,"HCUP 2020, 2021, 2022"
CMR_CANCER_METS,1,0.503960800195,0.439609269875,0.568312330515,15.349207906838,0.000000000000,Gee,Metastatic cancer,v2025,"HCUP 2020, 2021, 2022"
CMR_CANCER_SOLID,1,0.124589559520,0.059717647965,0.189461471076,3.764203083493,0.000167081060,Gee,"Solid tumor without metastasis, malignant",v2025,"HCUP 2020, 2021, 2022"
CMR_CBVD,1,0.149211970359,0.101370539017,0.197053401700,6.112904228936,0.000000000978,Gee,Cerebrovascular disease,v2025,"HCUP 2020, 2021, 2022"
CMR_COAG,1,0.432565632541,0.387713378859,0.477417886224,18.902351412103,0.000000000000,Gee,Coagulopathy,v2025,"HCUP 2020, 2021, 2022"
CMR_DEPRESS,1,-0.281601382912,-0.334291950172,-0.228910815652,-10.47490276167,0.000000000000,Gee,Depression,v2025,"HCUP 2020, 2021, 2022"
CMR_DIAB_UNCX,1,-0.064437465932,-0.117853581971,-0.011021349893,-2.364363451465,0.018061084027,Gee,Diabetes without chronic complications,v2025,"HCUP 2020, 2021, 2022"
CMR_DRUG_ABUSE,1,-0.161752974637,-0.235992542891,-0.087513406384,-4.270364337223,0.000019515390,Gee,Drug abuse,v2025,"HCUP 2020, 2021, 2022"
CMR_HF,1,0.259611721581,0.219725977685,0.299497465478,12.757180249201,0.000000000000,Gee,Heart failure,v2025,"HCUP 2020, 2021, 2022"
