Variable,DF,Estimate,LowerCL,UpperCL,ZStat,ProbZStat,Model,zlabel,SoftVer,SrcData
Intercept,1,-2.992602302044,-3.116223242860,-2.868981361228,-47.44659515883,0.000000000000,Gee,Intercept,v2023,"HCUP 2019, 2020, 2021"
Age_LT30,1,-0.133860657670,-0.244473968555,-0.023247346786,-2.371885136448,0.017697591538,Gee,Age < 30,v2023,"HCUP 2019, 2020, 2021"
Age_30_34,1,-0.168001314869,-0.279247541580,-0.056755088158,-2.959889393406,0.003077495099,Gee,30 <= Age <= 34,v2023,"HCUP 2019, 2020, 2021"
Age_35_39,1,-0.246681729824,-0.350343414904,-0.143020044744,-4.664088816675,0.000003099875,Gee,35 <= Age <= 39,v2023,"HCUP 2019, 2020, 2021"
Age_40_44,1,-0.108862488686,-0.198225855623,-0.019499121750,-2.387628895452,0.016957455214,Gee,40 <= Age <= 44,v2023,"HCUP 2019, 2020, 2021"
Age_45_49,1,-0.195975196623,-0.282674830458,-0.109275562787,-4.430287767676,0.000009410742,Gee,45 <= Age <= 49,v2023,"HCUP 2019, 2020, 2021"
Age_50_54,1,-0.160353036276,-0.233074495241,-0.087631577311,-4.321780398610,0.000015477520,Gee,50 <= Age <= 54,v2023,"HCUP 2019, 2020, 2021"
Age_55_59,1,-0.116269089525,-0.203168964468,-0.029369214581,-2.622365430694,0.008732174495,Gee,55 <= Age <= 59,v2023,"HCUP 2019, 2020, 2021"
Age_60_64,1,-0.064233877882,-0.124151632016,-0.004316123747,-2.101148299937,0.035627950121,Gee,60 <= Age <= 64,v2023,"HCUP 2019, 2020, 2021"
Age_70_74,1,0.115652104389,0.056276086086,0.175028122692,3.817601210328,0.000134755512,Gee,70 <= Age <= 74,v2023,"HCUP 2019, 2020, 2021"
Age_75_79,1,0.283969162801,0.220159223606,0.347779101996,8.722298419800,0.000000000000,Gee,75 <= Age <= 79,v2023,"HCUP 2019, 2020, 2021"
Age_80_84,1,0.377061914508,0.305431585995,0.448692243021,10.317246726604,0.000000000000,Gee,80 <= Age <= 84,v2023,"HCUP 2019, 2020, 2021"
Age_85Plus,1,0.557580703089,0.475997250867,0.639164155312,13.395340191676,0.000000000000,Gee,Age >= 85,v2023,"HCUP 2019, 2020, 2021"
MALE,1,0.048664901324,0.012129645717,0.085200156931,2.610668854567,0.009036534866,Gee,Patient Sex Flag: 1=Male / 0=Female,v2023,"HCUP 2019, 2020, 2021"
Age_55_59_MALE,1,-0.113553279682,-0.221046507158,-0.006060052206,-2.070459169649,0.038409365819,Gee,55 <= Age <= 59 MALE,v2023,"HCUP 2019, 2020, 2021"
CMR_ALCOHOL,1,0.074783854656,0.000605474161,0.148962235152,1.975962009053,0.048159080175,Gee,Alcohol abuse,v2023,"HCUP 2019, 2020, 2021"
CMR_ANEMDEF,1,-0.082838786129,-0.127932498547,-0.037745073710,-3.600524965199,0.000317575333,Gee,Anemias due to other nutritional deficiencies,v2023,"HCUP 2019, 2020, 2021"
CMR_CANCER_LEUK,1,0.485544377543,0.310296116910,0.660792638175,5.430293513015,0.000000056261,Gee,Leukemia,v2023,"HCUP 2019, 2020, 2021"
CMR_CANCER_LYMPH,1,0.134141119534,-0.022305201849,0.290587440918,1.680523778432,0.092855451847,Gee,Lymphoma,v2023,"HCUP 2019, 2020, 2021"
CMR_CANCER_METS,1,0.294110723669,0.219077586771,0.369143860568,7.682557996237,0.000000000000,Gee,Metastatic cancer,v2023,"HCUP 2019, 2020, 2021"
CMR_CANCER_SOLID,1,0.128349689922,0.057623376152,0.199076003692,3.556820032935,0.000375371120,Gee,"Solid tumor without metastasis, malignant",v2023,"HCUP 2019, 2020, 2021"
CMR_CBVD,1,0.162192824231,0.089603125884,0.234782522579,4.379300386718,0.000011906092,Gee,Cerebrovascular disease,v2023,"HCUP 2019, 2020, 2021"
CMR_COAG,1,0.385068773302,0.338379140381,0.431758406223,16.164636130707,0.000000000000,Gee,Coagulopathy,v2023,"HCUP 2019, 2020, 2021"
CMR_DEPRESS,1,-0.241331074082,-0.296112664449,-0.186549483714,-8.634291381020,0.000000000000,Gee,Depression,v2023,"HCUP 2019, 2020, 2021"
CMR_DIAB_UNCX,1,0.084556289917,0.021872989561,0.147239590273,2.643882532717,0.008196109458,Gee,Diabetes without chronic complications,v2023,"HCUP 2019, 2020, 2021"
CMR_HF,1,0.063084399812,0.014942626890,0.111226172735,2.568313215564,0.010219477045,Gee,Heart failure,v2023,"HCUP 2019, 2020, 2021"
CMR_HTN_UNCX,1,0.067381741163,0.022534147344,0.112229334982,2.944768596253,0.003231962840,Gee,"Hypertension, uncomplicated",v2023,"HCUP 2019, 2020, 2021"
CMR_LIVER_MLD,1,0.258433228355,0.193365250006,0.323501206703,7.784471453364,0.000000000000,Gee,"Liver disease, mild",v2023,"HCUP 2019, 2020, 2021"
CMR_LIVER_SEV,1,0.715970227928,0.624659611554,0.807280844303,15.368156699202,0.000000000000,Gee,"Liver disease, moderate to severe",v2023,"HCUP 2019, 2020, 2021"
CMR_LUNG_CHRONIC,1,0.118305950488,0.076084564680,0.160527336297,5.491894632832,0.000000039764,Gee,Chronic pulmonary disease,v2023,"HCUP 2019, 2020, 2021"
CMR_NEURO_OTH,1,0.314701427946,0.260069162761,0.369333693130,11.290095012125,0.000000000000,Gee,Other neurological disorders,v2023,"HCUP 2019, 2020, 2021"
CMR_OBESE,1,-0.127762368739,-0.170347968368,-0.085176769111,-5.880148301129,0.000000004099,Gee,Obesity,v2023,"HCUP 2019, 2020, 2021"
CMR_PARALYSIS,1,-0.343724034566,-0.414542789664,-0.272905279467,-9.512829298238,0.000000000000,Gee,Paralysis,v2023,"HCUP 2019, 2020, 2021"
