Variable,DF,Estimate,LowerCL,UpperCL,ZStat,ProbZStat,Model,zlabel,SoftVer,SrcData
Intercept,1,-10.21628504725,-10.55702050103,-9.875549593469,-58.76568031333,0.000000000000,Gee,Intercept,v2025,"HCUP 2020, 2021, 2022"
Age_LT30,1,-0.550447075072,-0.710369624217,-0.390524525927,-6.746118344811,0.000000000015,Gee,Age < 30,v2025,"HCUP 2020, 2021, 2022"
Age_30_34,1,-0.574282245426,-0.750417174771,-0.398147316081,-6.390399236421,0.000000000165,Gee,30 <= Age <= 34,v2025,"HCUP 2020, 2021, 2022"
Age_35_39,1,-0.508488993197,-0.667179957886,-0.349798028507,-6.280257449745,0.000000000338,Gee,35 <= Age <= 39,v2025,"HCUP 2020, 2021, 2022"
Age_40_44,1,-0.476283436853,-0.627575592907,-0.324991280799,-6.170170397534,0.000000000682,Gee,40 <= Age <= 44,v2025,"HCUP 2020, 2021, 2022"
Age_45_49,1,-0.245679534018,-0.370024475954,-0.121334592082,-3.872477890278,0.000107734452,Gee,45 <= Age <= 49,v2025,"HCUP 2020, 2021, 2022"
Age_50_54,1,-0.225184959219,-0.680468095866,0.230098177429,-0.969406451507,0.332342434690,Gee,50 <= Age <= 54,v2025,"HCUP 2020, 2021, 2022"
Age_55_59,1,-0.248133082949,-0.696588169067,0.200322003169,-1.084460676236,0.278160593425,Gee,55 <= Age <= 59,v2025,"HCUP 2020, 2021, 2022"
Age_60_64,1,-0.067995656531,-0.166103409389,0.030112096326,-1.358394561333,0.174338519099,Gee,60 <= Age <= 64,v2025,"HCUP 2020, 2021, 2022"
Age_70_74,1,-0.058459553810,-0.158597876407,0.041678768787,-1.144203508192,0.252539248553,Gee,70 <= Age <= 74,v2025,"HCUP 2020, 2021, 2022"
Age_75_79,1,-0.173849464967,-0.287712920628,-0.059986009306,-2.992520190865,0.002766843643,Gee,75 <= Age <= 79,v2025,"HCUP 2020, 2021, 2022"
Age_80_84,1,-0.170203361670,-0.308831994909,-0.031574728430,-2.406374867322,0.016111722561,Gee,80 <= Age <= 84,v2025,"HCUP 2020, 2021, 2022"
Age_85_89,1,-0.194941628671,-0.366045030723,-0.023838226620,-2.233027319748,0.025547142827,Gee,85 <= Age <= 89,v2025,"HCUP 2020, 2021, 2022"
Age_90Plus,1,-0.480582925057,-0.746858710126,-0.214307139989,-3.537404741683,0.000404079918,Gee,Age >= 90,v2025,"HCUP 2020, 2021, 2022"
MALE,1,0.642478932149,0.580481459657,0.704476404641,20.311079100730,0.000000000000,Gee,Patient Sex Flag: 1=Male / 0=Female,v2025,"HCUP 2020, 2021, 2022"
CMR_ALCOHOL,1,0.129692531978,-0.568657312795,0.828042376750,0.363990475036,0.715865122057,Gee,Alcohol abuse,v2025,"HCUP 2020, 2021, 2022"
