Variable,DF,Estimate,LowerCL,UpperCL,ZStat,ProbZStat,Model,zlabel,SoftVer,SrcData
Intercept,1,-9.177493597855,-9.745329941891,-8.609657253818,-31.67736110774,0.000000000000,Gee,Intercept,v2023,"HCUP 2019, 2020, 2021"
Age_LT60,1,-0.611719380182,-0.922894590090,-0.300544170275,-3.852967446085,0.000116694910,Gee,Age<60,v2023,"HCUP 2019, 2020, 2021"
Age_70Plus,1,-0.237568661607,-0.541908901618,0.066771578403,-1.529952202806,0.126028560389,Gee,Age >= 70,v2023,"HCUP 2019, 2020, 2021"
MALE,1,0.677343998797,0.422589248460,0.932098749134,5.211168156946,0.000000187655,Gee,Patient Sex Flag: 1=Male / 0=Female,v2023,"HCUP 2019, 2020, 2021"
CMR_HTN_CX,1,0.421196404296,0.069281525985,0.773111282608,2.345822338629,0.018985154517,Gee,"Hypertension, complicated",v2023,"HCUP 2019, 2020, 2021"
CMR_LUNG_CHRONIC,1,0.791206052896,0.521276707391,1.061135398400,5.744967688220,0.000000009194,Gee,Chronic pulmonary disease,v2023,"HCUP 2019, 2020, 2021"
CMR_WGHTLOSS,1,0.688658947227,0.284063201586,1.093254692868,3.336037881608,0.000849815832,Gee,Weight loss,v2023,"HCUP 2019, 2020, 2021"
PS14_NONOPEN_NonWt_2,1,0.280599694873,-0.083463774009,0.644663163754,1.510630269257,0.130882677470,Gee,"PS14_NONOPEN Comorbidty count using non-weighted method, category 2, count >= 5",v2023,"HCUP 2019, 2020, 2021"
MDC_7,1,-0.959790575920,-1.460511025288,-0.459070126553,-3.756896615427,0.000172033526,Gee,Diseases and disorders of the hepatobiliary system and pancreas,v2023,"HCUP 2019, 2020, 2021"
MDC_11,1,1.144654625591,0.659899048697,1.629410202484,4.628068139562,0.000003690926,Gee,Diseases and disorders of the kidney and urinary tract,v2023,"HCUP 2019, 2020, 2021"
MDRG_602,1,1.215988909418,0.902466118368,1.529511700468,7.601662577954,0.000000000000,Gee,MAJOR SMALL & LARGE BOWEL PROCEDURES,v2023,"HCUP 2019, 2020, 2021"
MDRG_610,1,5.543599474419,4.746852111796,6.340346837042,13.637014471952,0.000000000000,Gee,HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL,v2023,"HCUP 2019, 2020, 2021"
MDRG_1103,1,0.283870567774,-0.276544020934,0.844285156483,0.992793728641,0.320810486781,Gee,KIDNEY & URETER PROCEDURES FOR NEOPLASM,v2023,"HCUP 2019, 2020, 2021"
TRNSFER,1,-0.039178385941,-0.679616592022,0.601259820141,-0.119899507379,0.904562754716,Gee,TRANSFER FROM ANOTHER ACUTE CARE HOSPITAL,v2023,"HCUP 2019, 2020, 2021"
YEAR_2019,1,-0.200764724965,-0.691259603659,0.289730153730,-0.802233922083,0.422417657382,Gee,Discharge YEAR is 2019 or before 2019,v2023,"HCUP 2019, 2020, 2021"
Q1,1,-0.254815619310,-0.855738692472,0.346107453852,-0.831103778256,0.405915005514,Gee,"Quarter 1, 2020",v2023,"HCUP 2019, 2020, 2021"
Q2,1,-0.051765487438,-0.678544288956,0.575013314081,-0.161872882067,0.871405958126,Gee,"Quarter 2, 2020",v2023,"HCUP 2019, 2020, 2021"
Q3,1,-0.277624265064,-0.898938231044,0.343689700916,-0.875778737568,0.381150331179,Gee,"Quarter 3, 2020",v2023,"HCUP 2019, 2020, 2021"
Q4,1,0.021284379025,-0.564996537108,0.607565295159,0.071154655004,0.943274669959,Gee,"Quarter 4, 2020",v2023,"HCUP 2019, 2020, 2021"
Q5,1,-0.189620401697,-0.840423081140,0.461182277747,-0.571062734986,0.567957117955,Gee,"Quarter 1, 2021",v2023,"HCUP 2019, 2020, 2021"
Q6,1,-0.898865574600,-1.696790930736,-0.100940218463,-2.207905964649,0.027250828972,Gee,"Quarter 2, 2021",v2023,"HCUP 2019, 2020, 2021"
Q7,1,-0.848765674612,-1.682749724148,-0.014781625076,-1.994702601901,0.046075325451,Gee,"Quarter 3, 2021",v2023,"HCUP 2019, 2020, 2021"
