Variable,DF,Estimate,LowerCL,UpperCL,ZStat,ProbZStat,Model,zlabel,SoftVer,SrcData
Intercept,1,-6.482891688058,-6.673569117321,-6.292214258795,-66.63732709936,0.000000000000,Gee,Intercept,v2023,"HCUP 2019, 2020, 2021"
Age_LT30,1,-0.702605920381,-1.016610680971,-0.388601159791,-4.385545928301,0.000011569524,Gee,Age < 30,v2023,"HCUP 2019, 2020, 2021"
Age_30_34,1,-0.520554910676,-0.717586160629,-0.323523660723,-5.178208416904,0.000000224027,Gee,30 <= Age <= 34,v2023,"HCUP 2019, 2020, 2021"
Age_35_39,1,-0.571174532360,-0.753429699223,-0.388919365496,-6.142385599150,0.000000000813,Gee,35 <= Age <= 39,v2023,"HCUP 2019, 2020, 2021"
Age_40_44,1,-0.428503020271,-0.677166610504,-0.179839430038,-3.377456612004,0.000731594938,Gee,40 <= Age <= 44,v2023,"HCUP 2019, 2020, 2021"
Age_45_49,1,-0.353983053417,-0.491385837697,-0.216580269137,-5.049344811088,0.000000443328,Gee,45 <= Age <= 49,v2023,"HCUP 2019, 2020, 2021"
Age_50_54,1,-0.206382655160,-0.387241665124,-0.025523645195,-2.236563006878,0.025314914987,Gee,50 <= Age <= 54,v2023,"HCUP 2019, 2020, 2021"
Age_55_59,1,-0.045121453036,-0.155513916797,0.065271010724,-0.801109241234,0.423068406736,Gee,55 <= Age <= 59,v2023,"HCUP 2019, 2020, 2021"
Age_60_64,1,-0.019356589077,-0.121394074945,0.082680896791,-0.371806666269,0.710036799992,Gee,60 <= Age <= 64,v2023,"HCUP 2019, 2020, 2021"
Age_70_74,1,0.011831897906,-0.095418846183,0.119082641995,0.216223150350,0.828813808976,Gee,70 <= Age <= 74,v2023,"HCUP 2019, 2020, 2021"
Age_75_79,1,-0.145607246605,-0.267042916565,-0.024171576646,-2.350091693241,0.018768786887,Gee,75 <= Age <= 79,v2023,"HCUP 2019, 2020, 2021"
Age_80_84,1,-0.110898885404,-0.252107231326,0.030309460518,-1.539270358968,0.123738307071,Gee,80 <= Age <= 84,v2023,"HCUP 2019, 2020, 2021"
Age_85_89,1,-0.173162635090,-0.451658851438,0.105333581257,-1.218661182174,0.222972816974,Gee,85 <= Age <= 89,v2023,"HCUP 2019, 2020, 2021"
Age_90Plus,1,-0.501565266574,-0.783179617353,-0.219950915796,-3.490766204435,0.000481637525,Gee,Age >= 90,v2023,"HCUP 2019, 2020, 2021"
MALE,1,0.687656250931,0.618749053824,0.756563448038,19.559371766023,0.000000000000,Gee,Patient Sex Flag: 1=Male / 0=Female,v2023,"HCUP 2019, 2020, 2021"
