Variable,DF,Estimate,LowerCL,UpperCL,ZStat,ProbZStat,Model,zlabel,SoftVer,SrcData
Intercept,1,-6.908440279842,-6.994533240803,-6.822347318881,-157.2752753157,0.000000000000,Gee,Intercept,v2025,"HCUP 2020, 2021, 2022"
Age_LT30,1,-0.439983042568,-0.582876876258,-0.297089208878,-6.034906440480,0.000000001591,Gee,Age < 30,v2025,"HCUP 2020, 2021, 2022"
Age_30_34,1,-0.398109884878,-0.547794127825,-0.248425641931,-5.212846862741,0.000000185964,Gee,30 <= Age <= 34,v2025,"HCUP 2020, 2021, 2022"
Age_35_39,1,-0.300217808083,-0.428782767295,-0.171652848871,-4.576799891406,0.000004721427,Gee,35 <= Age <= 39,v2025,"HCUP 2020, 2021, 2022"
Age_40_44,1,-0.192204738010,-0.301460314031,-0.082949161990,-3.448010416306,0.000564732258,Gee,40 <= Age <= 44,v2025,"HCUP 2020, 2021, 2022"
Age_45_49,1,-0.122900313613,-0.222603796808,-0.023196830419,-2.415965627817,0.015693542721,Gee,45 <= Age <= 49,v2025,"HCUP 2020, 2021, 2022"
Age_50_54,1,-0.153427409084,-0.245675410694,-0.061179407474,-3.259823419461,0.001114815969,Gee,50 <= Age <= 54,v2025,"HCUP 2020, 2021, 2022"
Age_55_59,1,-0.106580269073,-0.195030787945,-0.018129750201,-2.361698851630,0.018191412902,Gee,55 <= Age <= 59,v2025,"HCUP 2020, 2021, 2022"
Age_60_64,1,-0.032774834081,-0.115175056516,0.049625388354,-0.779579138262,0.435638639282,Gee,60 <= Age <= 64,v2025,"HCUP 2020, 2021, 2022"
Age_70_74,1,0.057616815671,-0.018986734110,0.134220365452,1.474172984697,0.140435021644,Gee,70 <= Age <= 74,v2025,"HCUP 2020, 2021, 2022"
Age_75_79,1,0.135827561763,0.052760125755,0.218894997772,3.204831423180,0.001351416055,Gee,75 <= Age <= 79,v2025,"HCUP 2020, 2021, 2022"
Age_80_84,1,0.136208287141,0.042126665635,0.230289908648,2.837571599189,0.004545815001,Gee,80 <= Age <= 84,v2025,"HCUP 2020, 2021, 2022"
Age_85_89,1,0.126028616834,0.011581413501,0.240475820167,2.158301319922,0.030904412179,Gee,85 <= Age <= 89,v2025,"HCUP 2020, 2021, 2022"
Age_90Plus,1,-0.143056559224,-0.320019618009,0.033906499561,-1.584430704104,0.113095739346,Gee,Age >= 90,v2025,"HCUP 2020, 2021, 2022"
MALE,1,-0.064644158495,-0.109783010674,-0.019505306315,-2.806899518758,0.005002084186,Gee,Patient Sex Flag: 1=Male / 0=Female,v2025,"HCUP 2020, 2021, 2022"
CMR_WGHTLOSS,1,0.762210074821,0.706123907017,0.818296242625,26.635877504164,0.000000000000,Gee,Weight loss,v2025,"HCUP 2020, 2021, 2022"
MDC_8,1,-1.305231852684,-1.478769036380,-1.131694668989,-14.74155203084,0.000000000000,Gee,Diseases and disorders of the musculoskeletal system and connective tissue,v2025,"HCUP 2020, 2021, 2022"
MDC_13,1,0.485194240053,0.371331222057,0.599057258048,8.351818287883,0.000000000000,Gee,Diseases and disorders of the female reproductive system,v2025,"HCUP 2020, 2021, 2022"
MDRG_501,1,0.256997529384,-0.780828029765,1.294823088534,0.485347366201,0.627429961476,Gee,OTHER HEART ASSIST SYSTEM IMPLANT,v2025,"HCUP 2020, 2021, 2022"
